source,sumlevel,geoid,name,st,cnty,T11_est1,T11_est2,T11_est3,T11_est4,T11_est5,T11_est6,T11_est7,T11_est8,T11_est9,T11_est10,T11_est11,T11_est12,T11_est13,T11_est14,T11_est15,T11_est16,T11_est17,T11_est18,T11_est19,T11_est20,T11_est21,T11_est22,T11_est23,T11_est24,T11_est25,T11_est26,T11_est27,T11_est28,T11_est29,T11_est30,T11_est31,T11_est32,T11_est33,T11_est34,T11_est35,T11_est36,T11_est37,T11_est38,T11_est39,T11_est40,T11_est41,T11_est42,T11_est43,T11_est44,T11_est45,T11_est46,T11_est47,T11_est48,T11_est49,T11_est50,T11_est51,T11_est52,T11_est53,T11_est54,T11_est55,T11_est56,T11_est57,T11_est58,T11_est59,T11_est60,T11_est61,T11_est62,T11_est63,T11_est64,T11_est65,T11_est66,T11_est67,T11_est68,T11_est69,T11_est70,T11_est71,T11_est72,T11_est73,T11_est74,T11_est75,T11_est76,T11_est77,T11_est78,T11_est79,T11_est80,T11_est81,T11_est82,T11_est83,T11_est84,T11_est85,T11_est86,T11_est87,T11_moe1,T11_moe2,T11_moe3,T11_moe4,T11_moe5,T11_moe6,T11_moe7,T11_moe8,T11_moe9,T11_moe10,T11_moe11,T11_moe12,T11_moe13,T11_moe14,T11_moe15,T11_moe16,T11_moe17,T11_moe18,T11_moe19,T11_moe20,T11_moe21,T11_moe22,T11_moe23,T11_moe24,T11_moe25,T11_moe26,T11_moe27,T11_moe28,T11_moe29,T11_moe30,T11_moe31,T11_moe32,T11_moe33,T11_moe34,T11_moe35,T11_moe36,T11_moe37,T11_moe38,T11_moe39,T11_moe40,T11_moe41,T11_moe42,T11_moe43,T11_moe44,T11_moe45,T11_moe46,T11_moe47,T11_moe48,T11_moe49,T11_moe50,T11_moe51,T11_moe52,T11_moe53,T11_moe54,T11_moe55,T11_moe56,T11_moe57,T11_moe58,T11_moe59,T11_moe60,T11_moe61,T11_moe62,T11_moe63,T11_moe64,T11_moe65,T11_moe66,T11_moe67,T11_moe68,T11_moe69,T11_moe70,T11_moe71,T11_moe72,T11_moe73,T11_moe74,T11_moe75,T11_moe76,T11_moe77,T11_moe78,T11_moe79,T11_moe80,T11_moe81,T11_moe82,T11_moe83,T11_moe84,T11_moe85,T11_moe86,T11_moe87
2013thru2017,50,05000US48001,"Anderson County, Texas",48,1,16565,11750,2575,185,395,255,385,220,70,270,325,35,70,0,25,335,9030,20,130,290,395,405,280,675,940,265,705,235,815,3885,140,140,0,0,0,0,0,0,0,0,0,0,0,0,4820,2240,285,240,450,320,380,30,300,130,0,20,4,20,70,2565,70,115,130,150,105,95,300,335,50,220,20,265,705,15,15,0,0,0,0,0,0,0,0,0,0,0,0,424,468,336,96,121,126,135,106,75,98,174,42,46,31,21,176,507,28,73,108,126,124,120,199,214,110,173,101,204,374,77,77,31,31,31,31,31,31,31,31,31,31,31,31,452,382,124,80,148,142,202,28,172,79,31,38,2,24,63,331,45,90,85,93,81,69,129,139,66,80,22,140,194,20,20,31,31,31,31,31,31,31,31,31,31,31,31
2013thru2017,50,05000US48003,"Andrews County, Texas",48,3,5415,3980,640,80,85,90,75,35,10,75,0,20,35,10,40,80,3300,35,50,80,150,95,130,155,230,70,250,30,305,1725,40,40,0,0,0,0,0,0,0,0,0,0,0,0,1430,630,85,85,55,150,10,4,85,15,50,15,0,10,65,800,20,40,20,15,25,30,75,65,50,35,60,85,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,264,206,61,44,94,61,39,19,63,21,36,33,15,45,74,295,50,49,70,81,59,69,91,111,76,107,37,124,253,35,35,21,21,21,21,21,21,21,21,21,21,21,21,252,193,46,71,74,100,19,10,69,18,55,26,21,22,64,180,32,46,21,29,26,29,58,56,58,32,58,72,115,21,21,21,21,21,21,21,21,21,21,21,21,21,21
2013thru2017,50,05000US48005,"Angelina County, Texas",48,5,30930,20425,3825,560,495,400,490,400,105,445,220,120,140,90,100,260,16430,50,245,265,570,815,290,1275,1295,440,1445,335,1400,8000,170,170,0,0,0,0,0,0,0,0,0,0,0,0,10505,5155,580,1000,945,1000,395,285,355,175,15,75,55,80,205,5065,230,145,185,280,190,100,410,655,155,525,180,475,1540,285,285,0,0,0,0,0,0,0,0,0,0,0,0,527,609,439,162,168,137,154,130,71,190,103,75,85,114,52,111,644,49,98,99,173,226,110,260,221,153,241,103,269,488,100,100,31,31,31,31,31,31,31,31,31,31,31,31,541,488,151,210,233,278,139,114,127,80,21,63,54,90,112,476,139,80,76,125,87,81,176,193,79,167,100,137,261,159,159,31,31,31,31,31,31,31,31,31,31,31,31
2013thru2017,50,05000US48007,"Aransas County, Texas",48,7,9530,7040,1645,260,220,170,110,120,90,155,155,20,70,45,105,120,5370,0,30,140,300,170,265,360,385,70,375,100,250,2930,25,25,0,0,0,0,0,0,0,0,0,0,0,0,2490,1210,240,165,160,250,150,50,4,100,0,40,30,15,0,1280,180,15,25,55,0,20,160,55,180,165,25,40,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,346,265,111,103,88,64,86,66,108,102,23,67,54,62,66,405,25,32,93,119,118,144,141,153,45,143,65,102,336,20,20,25,25,25,25,25,25,25,25,25,25,25,25,411,333,141,105,97,154,80,63,7,114,25,53,40,19,25,321,173,24,36,69,25,26,116,53,171,98,29,33,159,25,25,25,25,25,25,25,25,25,25,25,25,25,25
2013thru2017,50,05000US48009,"Archer County, Texas",48,9,3350,2750,435,35,60,65,30,75,15,50,20,10,4,4,20,45,2315,0,25,70,40,75,15,145,130,65,95,30,225,1405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,195,40,15,30,25,30,10,25,4,0,0,0,0,15,405,0,55,30,35,35,30,20,55,10,15,0,30,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,136,102,22,33,56,28,42,21,47,16,13,9,8,18,27,135,19,21,37,26,35,25,67,49,30,36,18,69,118,19,19,19,19,19,19,19,19,19,19,19,19,19,19,98,73,35,20,29,24,31,13,24,10,19,19,19,19,26,79,19,28,25,25,33,26,18,36,17,16,19,20,40,19,19,19,19,19,19,19,19,19,19,19,19,19,19
2013thru2017,50,05000US48011,"Armstrong County, Texas",48,11,700,570,50,15,25,0,10,4,0,0,0,0,0,0,0,0,515,0,4,20,4,10,4,35,40,15,55,10,65,255,4,4,0,0,0,0,0,0,0,0,0,0,0,0,135,40,0,15,4,4,10,0,4,0,0,0,0,0,0,90,0,0,0,10,10,0,4,10,0,10,0,10,40,4,4,0,0,0,0,0,0,0,0,0,0,0,0,48,49,24,13,23,13,11,10,13,13,13,13,13,13,13,13,49,13,12,16,6,12,9,20,21,18,32,14,25,49,2,2,13,13,13,13,13,13,13,13,13,13,13,13,41,23,13,14,9,1,15,13,10,13,13,13,13,13,13,33,13,13,13,15,14,13,5,12,13,15,13,13,28,13,13,13,13,13,13,13,13,13,13,13,13,13,13
2013thru2017,50,05000US48013,"Atascosa County, Texas",48,13,15510,11535,2215,295,245,230,140,110,110,165,90,15,205,70,230,320,9250,60,260,270,390,465,185,640,720,225,785,150,640,4470,70,70,0,0,0,0,0,0,0,0,0,0,0,0,3970,1395,150,245,145,155,245,60,85,85,50,45,50,40,40,2530,100,150,50,125,85,80,230,180,235,265,70,135,820,45,45,0,0,0,0,0,0,0,0,0,0,0,0,407,438,339,125,114,112,88,60,68,95,81,24,117,73,109,109,498,52,162,100,169,192,89,190,253,114,211,88,156,423,66,66,28,28,28,28,28,28,28,28,28,28,28,28,413,273,112,133,102,99,157,61,69,71,40,52,62,56,67,382,96,86,39,84,86,73,132,115,144,122,64,68,253,50,50,28,28,28,28,28,28,28,28,28,28,28,28
2013thru2017,50,05000US48015,"Austin County, Texas",48,15,11020,8175,1580,200,200,140,175,140,50,110,145,0,50,50,145,180,6540,40,110,180,150,305,220,350,575,85,450,140,715,3220,55,55,0,0,0,0,0,0,0,0,0,0,0,0,2845,1405,210,270,485,175,115,25,35,65,0,0,0,0,15,1430,100,120,15,50,80,85,255,115,40,160,4,85,325,15,15,0,0,0,0,0,0,0,0,0,0,0,0,295,338,226,112,88,75,89,88,39,58,86,25,33,52,103,78,390,42,74,105,91,120,107,134,183,62,145,89,216,332,45,45,25,25,25,25,25,25,25,25,25,25,25,25,328,274,115,146,214,117,110,40,41,65,25,25,25,25,31,254,64,82,18,47,57,70,116,91,38,105,25,66,142,24,24,25,25,25,25,25,25,25,25,25,25,25,25
2013thru2017,50,05000US48017,"Bailey County, Texas",48,17,2230,1610,405,25,50,40,70,40,80,30,0,0,0,35,15,20,1115,0,0,0,10,60,85,90,145,35,80,70,95,435,95,95,0,0,0,0,0,0,0,0,0,0,0,0,620,320,30,35,70,25,65,30,0,40,0,0,0,25,0,290,0,0,0,0,40,0,20,0,4,95,25,75,30,10,10,0,0,0,0,0,0,0,0,0,0,0,0,189,255,139,29,47,39,58,51,86,31,19,19,19,47,24,37,211,19,19,19,18,60,97,64,95,49,62,65,61,151,117,117,19,19,19,19,19,19,19,19,19,19,19,19,187,125,37,43,94,28,70,40,19,48,19,19,19,32,19,162,19,19,19,19,45,19,34,19,16,107,33,75,42,17,17,19,19,19,19,19,19,19,19,19,19,19,19
2013thru2017,50,05000US48019,"Bandera County, Texas",48,19,8280,7005,1385,230,245,85,85,130,55,120,185,0,75,0,40,135,5480,50,165,110,145,220,60,400,460,175,415,70,620,2585,145,145,0,0,0,0,0,0,0,0,0,0,0,0,1270,535,85,50,170,95,20,55,4,45,0,10,0,0,0,695,0,15,50,30,80,30,105,55,4,85,25,80,130,40,40,0,0,0,0,0,0,0,0,0,0,0,0,432,379,292,135,119,63,63,78,42,82,106,25,54,25,34,89,394,79,103,62,84,105,41,142,144,93,144,58,172,305,95,95,25,25,25,25,25,25,25,25,25,25,25,25,249,189,73,48,106,52,21,86,4,45,25,13,25,25,25,168,25,23,79,32,59,44,62,42,10,67,28,68,61,39,39,25,25,25,25,25,25,25,25,25,25,25,25
