source,sumlevel,geoid,name,st,cnty,T12_est1,T12_est2,T12_est3,T12_est4,T12_est5,T12_est6,T12_est7,T12_est8,T12_est9,T12_est10,T12_est11,T12_est12,T12_est13,T12_est14,T12_est15,T12_est16,T12_est17,T12_est18,T12_est19,T12_est20,T12_est21,T12_est22,T12_est23,T12_est24,T12_est25,T12_est26,T12_est27,T12_est28,T12_est29,T12_est30,T12_est31,T12_est32,T12_est33,T12_est34,T12_est35,T12_est36,T12_est37,T12_est38,T12_est39,T12_est40,T12_est41,T12_est42,T12_est43,T12_est44,T12_est45,T12_est46,T12_est47,T12_est48,T12_est49,T12_est50,T12_est51,T12_est52,T12_est53,T12_est54,T12_est55,T12_est56,T12_est57,T12_est58,T12_est59,T12_est60,T12_est61,T12_est62,T12_est63,T12_est64,T12_est65,T12_est66,T12_est67,T12_est68,T12_est69,T12_est70,T12_est71,T12_est72,T12_est73,T12_est74,T12_est75,T12_est76,T12_est77,T12_est78,T12_est79,T12_est80,T12_est81,T12_est82,T12_est83,T12_est84,T12_est85,T12_est86,T12_est87,T12_est88,T12_est89,T12_est90,T12_est91,T12_est92,T12_est93,T12_est94,T12_est95,T12_est96,T12_est97,T12_est98,T12_est99,T12_est100,T12_est101,T12_est102,T12_est103,T12_est104,T12_est105,T12_est106,T12_est107,T12_est108,T12_est109,T12_est110,T12_est111,T12_est112,T12_est113,T12_est114,T12_est115,T12_est116,T12_est117,T12_est118,T12_est119,T12_est120,T12_est121,T12_est122,T12_est123,T12_est124,T12_est125,T12_est126,T12_est127,T12_est128,T12_est129,T12_est130,T12_est131,T12_est132,T12_est133,T12_est134,T12_est135,T12_est136,T12_est137,T12_est138,T12_est139,T12_est140,T12_est141,T12_est142,T12_est143,T12_est144,T12_est145,T12_est146,T12_est147,T12_est148,T12_est149,T12_est150,T12_est151,T12_est152,T12_est153,T12_est154,T12_est155,T12_est156,T12_est157,T12_est158,T12_est159,T12_est160,T12_est161,T12_est162,T12_est163,T12_est164,T12_est165,T12_est166,T12_est167,T12_est168,T12_est169,T12_est170,T12_est171,T12_est172,T12_est173,T12_est174,T12_est175,T12_est176,T12_est177,T12_est178,T12_est179,T12_est180,T12_est181,T12_est182,T12_est183,T12_est184,T12_est185,T12_est186,T12_est187,T12_est188,T12_est189,T12_est190,T12_est191,T12_est192,T12_est193,T12_est194,T12_est195,T12_est196,T12_est197,T12_est198,T12_est199,T12_est200,T12_est201,T12_est202,T12_est203,T12_est204,T12_est205,T12_est206,T12_est207,T12_est208,T12_est209,T12_est210,T12_est211,T12_est212,T12_est213,T12_moe1,T12_moe2,T12_moe3,T12_moe4,T12_moe5,T12_moe6,T12_moe7,T12_moe8,T12_moe9,T12_moe10,T12_moe11,T12_moe12,T12_moe13,T12_moe14,T12_moe15,T12_moe16,T12_moe17,T12_moe18,T12_moe19,T12_moe20,T12_moe21,T12_moe22,T12_moe23,T12_moe24,T12_moe25,T12_moe26,T12_moe27,T12_moe28,T12_moe29,T12_moe30,T12_moe31,T12_moe32,T12_moe33,T12_moe34,T12_moe35,T12_moe36,T12_moe37,T12_moe38,T12_moe39,T12_moe40,T12_moe41,T12_moe42,T12_moe43,T12_moe44,T12_moe45,T12_moe46,T12_moe47,T12_moe48,T12_moe49,T12_moe50,T12_moe51,T12_moe52,T12_moe53,T12_moe54,T12_moe55,T12_moe56,T12_moe57,T12_moe58,T12_moe59,T12_moe60,T12_moe61,T12_moe62,T12_moe63,T12_moe64,T12_moe65,T12_moe66,T12_moe67,T12_moe68,T12_moe69,T12_moe70,T12_moe71,T12_moe72,T12_moe73,T12_moe74,T12_moe75,T12_moe76,T12_moe77,T12_moe78,T12_moe79,T12_moe80,T12_moe81,T12_moe82,T12_moe83,T12_moe84,T12_moe85,T12_moe86,T12_moe87,T12_moe88,T12_moe89,T12_moe90,T12_moe91,T12_moe92,T12_moe93,T12_moe94,T12_moe95,T12_moe96,T12_moe97,T12_moe98,T12_moe99,T12_moe100,T12_moe101,T12_moe102,T12_moe103,T12_moe104,T12_moe105,T12_moe106,T12_moe107,T12_moe108,T12_moe109,T12_moe110,T12_moe111,T12_moe112,T12_moe113,T12_moe114,T12_moe115,T12_moe116,T12_moe117,T12_moe118,T12_moe119,T12_moe120,T12_moe121,T12_moe122,T12_moe123,T12_moe124,T12_moe125,T12_moe126,T12_moe127,T12_moe128,T12_moe129,T12_moe130,T12_moe131,T12_moe132,T12_moe133,T12_moe134,T12_moe135,T12_moe136,T12_moe137,T12_moe138,T12_moe139,T12_moe140,T12_moe141,T12_moe142,T12_moe143,T12_moe144,T12_moe145,T12_moe146,T12_moe147,T12_moe148,T12_moe149,T12_moe150,T12_moe151,T12_moe152,T12_moe153,T12_moe154,T12_moe155,T12_moe156,T12_moe157,T12_moe158,T12_moe159,T12_moe160,T12_moe161,T12_moe162,T12_moe163,T12_moe164,T12_moe165,T12_moe166,T12_moe167,T12_moe168,T12_moe169,T12_moe170,T12_moe171,T12_moe172,T12_moe173,T12_moe174,T12_moe175,T12_moe176,T12_moe177,T12_moe178,T12_moe179,T12_moe180,T12_moe181,T12_moe182,T12_moe183,T12_moe184,T12_moe185,T12_moe186,T12_moe187,T12_moe188,T12_moe189,T12_moe190,T12_moe191,T12_moe192,T12_moe193,T12_moe194,T12_moe195,T12_moe196,T12_moe197,T12_moe198,T12_moe199,T12_moe200,T12_moe201,T12_moe202,T12_moe203,T12_moe204,T12_moe205,T12_moe206,T12_moe207,T12_moe208,T12_moe209,T12_moe210,T12_moe211,T12_moe212,T12_moe213
2013thru2017,50,05000US48001,"Anderson County, Texas",48,1,16565,11750,2695,425,155,160,75,40,255,185,65,0,0,670,470,195,4,0,1350,1310,40,0,0,3590,685,305,195,120,60,680,565,105,15,0,665,595,70,0,0,1560,1495,55,10,0,3250,480,175,135,130,40,705,440,235,30,0,660,560,15,85,0,1405,1405,4,0,0,1405,435,205,65,165,0,140,125,10,10,0,425,415,10,0,0,405,400,0,4,0,805,170,90,20,60,0,140,125,10,4,0,160,155,4,0,0,340,265,70,0,0,4820,700,320,85,80,155,0,150,35,115,0,0,110,55,10,45,0,120,120,0,0,0,1905,715,240,215,245,15,460,195,265,0,0,375,365,10,0,0,355,340,15,0,0,1215,510,140,150,220,0,235,145,75,20,0,130,130,0,0,0,345,345,0,0,0,655,195,35,50,110,0,130,105,25,0,0,115,115,0,0,0,210,210,0,0,0,345,30,4,0,25,0,225,150,75,0,0,50,30,20,0,0,35,35,0,0,0,424,468,283,127,65,104,39,31,99,80,60,31,31,167,111,141,31,31,241,236,34,31,31,297,164,110,97,71,60,172,165,72,20,31,152,140,81,31,31,211,211,40,15,31,345,160,85,82,98,38,192,176,108,46,31,206,182,24,69,31,246,245,1,31,31,251,143,84,46,110,31,60,61,15,15,31,163,164,14,31,31,107,107,31,31,31,157,76,56,23,48,31,75,73,15,7,31,72,72,31,31,31,120,94,90,31,31,452,195,114,53,66,98,31,118,29,115,31,31,82,48,12,66,31,87,87,31,31,31,287,209,130,117,97,20,174,133,134,31,31,147,145,15,31,31,129,128,25,31,31,249,157,96,83,104,31,119,90,78,32,31,72,72,31,31,31,135,135,31,31,31,200,73,43,56,47,31,74,74,26,31,31,79,79,31,31,31,117,117,31,31,31,144,22,16,31,22,31,134,95,90,31,31,51,35,38,31,31,30,30,31,31,31
2013thru2017,50,05000US48003,"Andrews County, Texas",48,3,5415,3980,530,50,20,20,15,0,60,35,30,0,0,50,40,0,10,0,370,350,0,20,0,1165,220,105,30,70,10,45,45,0,0,0,185,150,35,0,0,715,715,0,0,0,1020,220,70,55,70,25,135,125,10,0,0,200,190,15,0,0,465,465,0,0,0,1240,190,110,70,0,4,240,210,30,0,0,205,205,0,0,0,605,605,0,0,0,20,4,4,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1430,255,85,45,20,20,0,30,20,0,10,0,50,40,4,0,0,90,90,0,0,0,425,150,55,50,45,0,50,50,0,0,0,60,60,0,0,0,165,155,10,0,0,485,140,30,70,40,0,75,30,45,0,0,105,105,0,0,0,160,160,0,0,0,235,80,10,0,70,0,60,40,20,0,0,75,75,0,0,0,20,20,0,0,0,30,10,0,0,10,0,10,10,0,0,0,0,0,0,0,0,10,10,0,0,0,193,264,148,45,35,20,20,21,53,39,39,21,21,45,40,21,17,21,112,104,21,38,21,243,101,78,33,59,16,35,35,21,21,21,72,56,42,21,21,203,203,21,21,21,215,123,60,57,83,33,77,75,15,21,21,95,93,24,21,21,158,158,21,21,21,194,80,73,55,21,13,99,100,37,21,21,112,112,21,21,21,163,163,21,21,21,26,11,11,21,21,21,24,24,21,21,21,21,21,21,21,21,21,21,21,21,21,252,114,63,50,38,26,21,41,35,21,19,21,44,43,17,21,21,86,86,21,21,21,178,110,72,41,67,21,40,40,21,21,21,56,56,21,21,21,95,92,22,21,21,166,86,35,71,36,21,71,26,66,21,21,84,84,21,21,21,91,91,21,21,21,116,55,13,21,55,21,59,43,35,21,21,62,62,21,21,21,27,27,21,21,21,33,18,21,21,18,21,21,21,21,21,21,21,21,21,21,21,15,15,21,21,21
2013thru2017,50,05000US48005,"Angelina County, Texas",48,5,30930,20425,4395,440,80,85,210,70,615,435,145,35,0,700,585,40,75,0,2645,2590,55,0,0,6600,1040,485,185,325,50,745,610,100,35,0,1310,1140,115,55,0,3505,3430,75,0,0,6425,1220,485,370,320,45,1175,980,130,65,0,1395,1315,80,0,0,2640,2625,15,0,0,2100,380,165,55,145,15,585,515,15,55,0,555,525,30,0,0,580,565,15,0,0,900,160,30,45,85,0,210,165,20,25,0,130,130,0,0,0,395,395,0,0,0,10505,1985,1000,275,250,445,35,310,90,175,45,0,365,345,20,0,0,305,275,30,0,0,3760,1485,350,440,685,10,670,410,220,40,0,720,600,105,15,0,890,820,55,15,0,2840,1390,330,335,625,100,375,140,205,30,0,435,435,0,0,0,645,645,0,0,0,1360,470,95,45,235,95,250,150,50,50,0,220,220,0,0,0,415,415,0,0,0,565,300,0,145,80,70,125,4,120,0,0,90,90,0,0,0,50,50,0,0,0,527,609,387,139,45,51,92,65,190,163,79,57,31,176,159,39,65,31,290,278,62,31,31,485,229,167,97,120,40,172,167,64,35,31,250,232,59,52,31,361,349,51,31,31,443,241,153,160,118,37,252,231,90,53,31,235,239,74,31,31,324,319,18,31,31,267,120,82,34,88,23,150,155,21,57,31,167,159,43,31,31,150,142,26,31,31,209,125,36,52,74,31,101,91,29,35,31,78,78,31,31,31,148,148,31,31,31,541,262,202,133,94,156,27,136,80,78,57,31,133,132,26,31,31,92,90,46,31,31,360,261,155,140,155,14,197,156,113,35,31,217,206,63,24,31,228,217,59,22,31,382,316,143,147,191,102,151,77,118,49,31,182,182,31,31,31,170,170,31,31,31,284,186,82,42,115,93,114,71,66,69,31,118,118,31,31,31,183,183,31,31,31,160,156,31,111,61,85,80,17,79,31,31,74,74,31,31,31,59,59,31,31,31
2013thru2017,50,05000US48007,"Aransas County, Texas",48,7,9530,7040,2095,295,80,60,140,10,220,155,65,4,0,400,300,45,55,0,1180,1105,60,15,0,2540,555,290,85,180,4,400,330,15,55,0,505,405,40,60,0,1080,1045,35,0,0,1925,280,150,75,45,10,470,270,185,15,0,250,240,10,0,0,920,825,95,0,0,370,80,4,20,55,0,40,30,10,0,0,70,35,15,20,0,180,180,0,0,0,110,35,10,0,20,0,30,30,0,0,0,0,0,0,0,0,45,45,0,0,0,2490,660,305,15,110,185,0,95,30,65,0,0,150,90,60,0,0,110,110,0,0,0,705,385,165,60,160,0,80,25,55,0,0,100,60,40,0,0,140,140,0,0,0,890,350,120,140,85,0,150,110,40,0,0,280,210,70,0,0,110,95,15,0,0,215,50,0,0,50,0,40,40,0,0,0,60,60,0,0,0,65,65,0,0,0,15,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,506,346,338,130,53,85,82,21,123,104,68,3,25,165,139,44,50,25,275,275,44,22,25,346,159,119,74,97,2,198,191,31,43,25,191,158,42,72,25,263,259,34,25,25,237,121,96,54,44,12,191,141,120,18,25,89,88,21,25,25,164,169,67,25,25,115,51,15,25,49,25,36,33,15,25,25,48,30,23,40,25,95,95,25,25,25,74,30,17,25,29,25,48,48,25,25,25,25,25,25,25,25,51,51,25,25,25,411,238,181,25,108,125,25,64,46,43,25,25,97,86,54,25,25,80,80,25,25,25,212,176,120,57,113,25,73,27,64,25,25,64,45,54,25,25,89,89,25,25,25,278,188,159,105,82,25,91,83,35,25,25,210,184,110,25,25,74,69,19,25,25,128,54,25,25,54,25,62,62,25,25,25,76,76,25,25,25,71,71,25,25,25,31,25,25,25,25,25,31,25,31,25,25,25,25,25,25,25,25,25,25,25,25
2013thru2017,50,05000US48009,"Archer County, Texas",48,9,3350,2750,385,10,4,4,4,0,45,25,10,10,0,25,15,4,10,0,300,270,25,0,0,1030,85,35,10,40,0,95,55,0,40,0,135,125,10,0,0,710,690,20,0,0,770,105,35,40,30,0,120,100,10,10,0,125,110,10,4,0,420,415,4,0,0,355,75,45,25,4,0,40,15,15,10,0,55,55,0,0,0,190,190,0,0,0,220,50,30,4,15,0,75,65,10,0,0,20,20,0,0,0,75,75,4,0,0,600,75,15,4,10,0,0,30,15,15,0,0,15,15,0,0,0,10,10,0,0,0,130,65,30,10,30,0,30,25,4,0,0,10,10,0,0,0,25,20,4,0,0,230,105,55,25,25,0,35,15,15,0,0,30,25,4,0,0,60,60,0,0,0,95,25,20,4,0,0,35,10,25,0,0,30,30,0,0,0,4,4,0,0,0,70,15,15,0,0,0,20,20,0,0,0,0,0,0,0,0,40,40,0,0,0,138,136,85,13,19,19,13,19,23,18,14,14,19,18,15,11,13,19,82,81,21,19,19,137,58,25,21,50,19,57,40,19,45,19,49,46,11,19,19,113,112,20,19,19,125,42,26,27,27,19,54,52,14,14,19,42,39,12,8,19,84,85,19,19,19,78,29,28,29,9,19,23,20,20,14,19,29,29,19,19,19,68,68,19,19,19,75,29,27,2,15,19,54,53,15,19,19,20,20,19,19,19,41,41,2,19,19,98,40,22,16,14,19,19,32,21,26,19,19,19,19,19,19,19,15,15,19,19,19,51,41,21,13,26,19,24,25,4,19,19,18,18,19,19,19,22,24,4,19,19,74,45,33,28,28,19,36,24,20,19,19,20,19,10,19,19,35,35,19,19,19,40,24,20,11,19,19,28,14,26,19,19,25,25,19,19,19,2,2,19,19,19,42,16,16,19,19,19,21,21,19,19,19,19,19,19,19,19,33,33,19,19,19
2013thru2017,50,05000US48011,"Armstrong County, Texas",48,11,700,570,60,10,0,0,10,0,4,0,0,4,0,4,4,0,0,0,40,40,0,0,0,85,4,4,0,0,0,10,10,0,0,0,15,15,0,0,0,50,50,0,0,0,150,25,15,0,10,0,4,4,0,4,0,30,30,0,0,0,90,90,0,0,0,150,15,10,0,4,4,15,15,0,0,0,30,30,0,0,0,95,95,0,0,0,125,20,4,4,15,0,20,20,0,0,0,35,35,0,0,0,45,45,0,0,0,135,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,20,15,0,10,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4,0,4,4,0,4,4,0,0,0,4,4,0,0,0,25,25,0,0,0,15,15,10,0,4,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,40,0,0,0,0,0,20,10,10,0,0,20,20,0,0,0,4,4,0,0,0,48,49,27,9,13,13,9,13,3,13,13,3,13,11,11,13,13,13,24,24,13,13,13,33,12,12,13,13,13,12,12,13,13,13,18,18,13,13,13,25,25,13,13,13,45,24,15,13,16,13,13,9,13,5,13,20,20,13,13,13,33,33,13,13,13,41,12,11,13,4,2,14,14,13,13,13,18,18,13,13,13,34,34,13,13,13,41,17,1,13,18,13,16,16,13,13,13,24,24,13,13,13,27,27,13,13,13,41,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,15,13,12,5,13,3,3,13,13,13,13,13,13,13,13,13,13,13,13,13,28,3,13,1,3,13,9,9,13,13,13,2,2,13,13,13,24,24,13,13,13,15,14,15,13,9,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,25,13,13,13,13,13,19,12,15,13,13,22,22,13,13,13,3,3,13,13,13
2013thru2017,50,05000US48013,"Atascosa County, Texas",48,13,15510,11535,3020,285,85,30,170,0,240,215,0,25,0,725,590,135,0,0,1770,1735,35,0,0,4410,730,455,50,190,30,570,475,95,0,0,890,820,55,15,0,2220,2130,75,15,0,2185,500,325,80,60,40,535,475,50,10,0,365,330,35,0,0,785,785,0,0,0,1140,280,150,45,85,0,200,180,15,0,0,180,180,0,0,0,480,480,0,0,0,780,155,90,35,30,0,130,110,4,15,0,100,100,0,0,0,400,400,0,0,0,3970,685,140,50,25,60,0,250,185,65,0,0,100,100,0,0,0,195,195,0,0,0,1390,420,110,130,160,15,225,95,110,20,0,210,190,25,0,0,535,530,4,0,0,1185,370,170,75,125,0,250,85,115,50,0,440,425,15,0,0,125,125,0,0,0,490,165,60,25,50,30,60,40,20,0,0,185,185,0,0,0,85,85,0,0,0,220,80,55,15,15,0,0,0,0,0,0,40,40,0,0,0,100,100,0,0,0,407,438,407,130,80,33,99,28,117,111,28,29,28,208,182,99,28,28,316,310,36,28,28,430,197,158,40,101,48,173,159,60,28,28,236,228,50,28,28,295,301,60,30,28,284,182,151,73,54,44,165,160,36,16,28,150,143,43,28,28,171,171,28,28,28,236,106,76,44,58,28,95,91,26,28,28,102,102,28,28,28,180,180,28,28,28,205,102,86,51,24,28,82,74,13,31,28,94,94,28,28,28,148,148,28,28,28,413,194,88,44,31,96,28,154,135,90,28,28,83,83,28,28,28,123,123,28,28,28,308,192,79,91,116,29,95,69,73,35,28,118,115,29,28,28,202,202,8,28,28,257,169,105,72,104,28,168,74,98,76,28,175,175,26,28,28,71,71,28,28,28,184,81,47,29,55,41,60,47,34,28,28,136,136,28,28,28,101,101,28,28,28,119,82,80,28,25,28,28,28,28,28,28,63,63,28,28,28,89,89,28,28,28
2013thru2017,50,05000US48015,"Austin County, Texas",48,15,11020,8175,2360,195,75,25,70,25,325,205,45,70,0,325,230,60,35,0,1515,1430,60,20,0,2715,510,170,165,100,75,335,230,100,4,0,580,515,35,35,0,1290,1255,35,0,0,1535,205,105,55,45,0,275,265,10,0,0,365,350,10,10,0,695,680,15,0,0,785,215,165,30,10,10,135,125,0,10,0,145,120,25,0,0,290,280,10,0,0,780,125,15,60,50,0,105,105,0,0,0,75,75,0,0,0,470,440,30,0,0,2845,450,295,45,170,75,0,85,35,50,0,0,25,25,0,0,0,50,50,0,0,0,1085,655,175,240,225,15,165,165,4,0,0,110,110,0,0,0,155,155,0,0,0,685,265,55,75,130,0,250,180,60,10,0,120,120,0,0,0,45,45,0,0,0,275,120,4,100,15,0,30,30,0,0,0,75,75,0,0,0,55,55,0,0,0,350,110,4,30,70,0,65,40,25,0,0,55,55,0,0,0,120,120,0,0,0,295,338,246,88,52,27,52,34,127,87,43,76,25,96,87,37,42,25,238,236,39,27,25,266,138,99,90,66,81,107,87,73,4,25,173,161,34,45,25,212,214,29,25,25,229,85,64,43,39,25,137,137,15,25,25,143,138,14,31,25,170,170,23,25,25,207,120,114,30,13,21,80,80,25,15,25,89,77,42,25,25,118,116,20,25,25,156,57,16,43,48,25,59,59,25,25,25,47,47,25,25,25,117,114,40,25,25,328,176,156,42,157,56,25,74,44,59,25,25,29,29,25,25,25,43,43,25,25,25,255,208,87,156,126,24,94,95,25,25,25,75,75,25,25,25,95,95,25,25,25,214,132,39,58,112,25,127,110,80,18,25,92,92,25,25,25,50,50,25,25,25,132,86,4,87,22,25,25,25,25,25,25,83,83,25,25,25,53,53,25,25,25,151,87,11,39,75,25,51,30,40,25,25,50,50,25,25,25,93,93,25,25,25
2013thru2017,50,05000US48017,"Bailey County, Texas",48,17,2230,1610,115,0,0,0,0,0,75,0,75,0,0,10,10,0,0,0,35,35,0,0,0,180,30,20,10,0,0,30,30,0,0,0,20,20,0,0,0,95,95,0,0,0,715,190,4,45,50,95,105,75,35,0,0,165,130,35,0,0,250,250,0,0,0,475,55,15,15,30,0,160,140,10,4,0,135,135,0,0,0,125,125,0,0,0,120,4,4,0,0,0,20,20,0,0,0,40,40,0,0,0,55,55,0,0,0,620,145,10,0,0,10,0,0,0,0,0,0,110,110,0,0,0,25,25,0,0,0,125,45,0,25,10,10,25,25,0,0,0,0,0,0,0,0,60,60,0,0,0,205,25,0,4,20,0,105,65,35,0,0,50,50,0,0,0,25,25,0,0,0,75,20,0,0,20,0,30,30,0,0,0,4,4,0,0,0,20,20,0,0,0,70,70,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,255,98,19,19,19,19,19,79,19,79,19,19,17,17,19,19,19,41,41,19,19,19,103,43,38,15,19,19,44,44,19,19,19,38,38,19,19,19,63,63,19,19,19,177,121,2,48,42,117,73,64,49,19,19,98,87,47,19,19,107,107,19,19,19,164,49,25,24,33,19,113,113,22,11,19,76,76,19,19,19,83,83,19,19,19,73,10,10,19,19,19,22,22,19,19,19,47,47,19,19,19,54,54,19,19,19,187,115,19,19,19,19,19,19,19,19,19,19,111,111,19,19,19,42,42,19,19,19,89,40,19,28,23,17,37,37,19,19,19,19,19,19,19,19,68,68,19,19,19,96,35,19,11,32,19,76,59,53,19,19,55,55,19,19,19,32,32,19,19,19,63,33,19,19,33,19,40,40,19,19,19,16,16,19,19,19,32,32,19,19,19,94,94,19,94,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
2013thru2017,50,05000US48019,"Bandera County, Texas",48,19,8280,7005,2450,380,45,45,230,60,235,165,60,10,0,470,375,95,0,0,1365,1325,35,10,0,3180,600,295,70,160,80,565,400,105,60,0,630,520,110,0,0,1380,1355,30,0,0,800,110,65,4,35,4,55,35,20,0,0,195,150,25,20,0,440,435,4,0,0,425,135,110,10,15,0,100,85,4,10,0,65,50,15,0,0,130,130,0,0,0,150,40,4,4,30,0,25,20,4,0,0,25,25,0,0,0,65,65,0,0,0,1270,345,205,95,60,55,0,35,25,10,0,0,30,30,0,0,0,80,80,0,0,0,505,125,20,50,35,15,205,150,55,0,0,75,75,0,0,0,95,95,0,0,0,280,130,55,35,25,15,10,4,10,0,0,100,90,10,0,0,40,40,0,0,0,100,50,10,4,30,10,45,40,4,0,0,4,4,0,0,0,0,0,0,0,0,45,30,15,15,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,432,379,298,144,29,42,122,73,114,97,57,18,25,143,112,70,25,25,229,223,30,15,25,357,164,127,60,89,64,181,150,77,65,25,190,166,83,25,25,265,262,31,25,25,199,62,44,17,41,1,40,35,25,25,25,110,93,41,39,25,143,141,18,25,25,144,99,98,15,29,25,67,63,19,13,25,43,39,19,25,25,66,66,25,25,25,67,30,25,9,29,25,27,29,3,25,25,32,32,25,25,25,44,44,25,25,25,249,147,127,93,61,67,25,24,19,18,25,25,27,27,25,25,25,65,65,25,25,25,169,75,26,55,28,31,105,84,86,25,25,66,66,25,25,25,63,63,25,25,25,122,91,60,47,32,27,14,4,13,25,25,56,58,12,25,25,37,37,25,25,25,59,38,14,10,28,15,42,42,4,25,25,10,10,25,25,25,25,25,25,25,25,37,28,23,19,25,25,25,25,25,25,25,23,23,25,25,25,25,25,25,25,25
