source,sumlevel,geoid,name,st,cnty,T1_est1,T1_est2,T1_est3,T1_est4,T1_est5,T1_est6,T1_est7,T1_est8,T1_est9,T1_est10,T1_est11,T1_est12,T1_est13,T1_est14,T1_est15,T1_est16,T1_est17,T1_est18,T1_est19,T1_est20,T1_est21,T1_est22,T1_est23,T1_est24,T1_est25,T1_est26,T1_est27,T1_est28,T1_est29,T1_est30,T1_est31,T1_est32,T1_est33,T1_est34,T1_est35,T1_est36,T1_est37,T1_est38,T1_est39,T1_est40,T1_est41,T1_est42,T1_est43,T1_est44,T1_est45,T1_est46,T1_est47,T1_est48,T1_est49,T1_est50,T1_est51,T1_est52,T1_est53,T1_est54,T1_est55,T1_est56,T1_est57,T1_est58,T1_est59,T1_est60,T1_est61,T1_est62,T1_est63,T1_est64,T1_est65,T1_est66,T1_est67,T1_est68,T1_est69,T1_est70,T1_est71,T1_est72,T1_est73,T1_est74,T1_est75,T1_est76,T1_est77,T1_est78,T1_est79,T1_est80,T1_est81,T1_est82,T1_est83,T1_est84,T1_est85,T1_est86,T1_est87,T1_est88,T1_est89,T1_est90,T1_est91,T1_est92,T1_est93,T1_est94,T1_est95,T1_est96,T1_est97,T1_est98,T1_est99,T1_est100,T1_est101,T1_est102,T1_est103,T1_est104,T1_est105,T1_est106,T1_est107,T1_est108,T1_est109,T1_est110,T1_est111,T1_est112,T1_est113,T1_est114,T1_est115,T1_est116,T1_est117,T1_est118,T1_est119,T1_est120,T1_est121,T1_est122,T1_est123,T1_est124,T1_est125,T1_est126,T1_est127,T1_est128,T1_est129,T1_est130,T1_est131,T1_est132,T1_est133,T1_est134,T1_est135,T1_est136,T1_est137,T1_est138,T1_est139,T1_est140,T1_est141,T1_est142,T1_est143,T1_est144,T1_est145,T1_est146,T1_est147,T1_est148,T1_est149,T1_est150,T1_est151,T1_est152,T1_est153,T1_est154,T1_est155,T1_est156,T1_est157,T1_est158,T1_est159,T1_est160,T1_est161,T1_est162,T1_est163,T1_est164,T1_est165,T1_est166,T1_est167,T1_est168,T1_est169,T1_est170,T1_est171,T1_est172,T1_est173,T1_est174,T1_est175,T1_est176,T1_est177,T1_est178,T1_est179,T1_est180,T1_est181,T1_est182,T1_est183,T1_est184,T1_est185,T1_est186,T1_est187,T1_est188,T1_est189,T1_est190,T1_est191,T1_est192,T1_est193,T1_est194,T1_est195,T1_est196,T1_est197,T1_est198,T1_est199,T1_est200,T1_est201,T1_est202,T1_est203,T1_est204,T1_est205,T1_est206,T1_est207,T1_est208,T1_est209,T1_est210,T1_est211,T1_est212,T1_est213,T1_est214,T1_est215,T1_est216,T1_est217,T1_est218,T1_est219,T1_est220,T1_est221,T1_est222,T1_est223,T1_est224,T1_est225,T1_est226,T1_est227,T1_est228,T1_est229,T1_est230,T1_est231,T1_est232,T1_est233,T1_est234,T1_est235,T1_est236,T1_est237,T1_est238,T1_est239,T1_est240,T1_est241,T1_est242,T1_est243,T1_est244,T1_est245,T1_est246,T1_est247,T1_est248,T1_est249,T1_moe1,T1_moe2,T1_moe3,T1_moe4,T1_moe5,T1_moe6,T1_moe7,T1_moe8,T1_moe9,T1_moe10,T1_moe11,T1_moe12,T1_moe13,T1_moe14,T1_moe15,T1_moe16,T1_moe17,T1_moe18,T1_moe19,T1_moe20,T1_moe21,T1_moe22,T1_moe23,T1_moe24,T1_moe25,T1_moe26,T1_moe27,T1_moe28,T1_moe29,T1_moe30,T1_moe31,T1_moe32,T1_moe33,T1_moe34,T1_moe35,T1_moe36,T1_moe37,T1_moe38,T1_moe39,T1_moe40,T1_moe41,T1_moe42,T1_moe43,T1_moe44,T1_moe45,T1_moe46,T1_moe47,T1_moe48,T1_moe49,T1_moe50,T1_moe51,T1_moe52,T1_moe53,T1_moe54,T1_moe55,T1_moe56,T1_moe57,T1_moe58,T1_moe59,T1_moe60,T1_moe61,T1_moe62,T1_moe63,T1_moe64,T1_moe65,T1_moe66,T1_moe67,T1_moe68,T1_moe69,T1_moe70,T1_moe71,T1_moe72,T1_moe73,T1_moe74,T1_moe75,T1_moe76,T1_moe77,T1_moe78,T1_moe79,T1_moe80,T1_moe81,T1_moe82,T1_moe83,T1_moe84,T1_moe85,T1_moe86,T1_moe87,T1_moe88,T1_moe89,T1_moe90,T1_moe91,T1_moe92,T1_moe93,T1_moe94,T1_moe95,T1_moe96,T1_moe97,T1_moe98,T1_moe99,T1_moe100,T1_moe101,T1_moe102,T1_moe103,T1_moe104,T1_moe105,T1_moe106,T1_moe107,T1_moe108,T1_moe109,T1_moe110,T1_moe111,T1_moe112,T1_moe113,T1_moe114,T1_moe115,T1_moe116,T1_moe117,T1_moe118,T1_moe119,T1_moe120,T1_moe121,T1_moe122,T1_moe123,T1_moe124,T1_moe125,T1_moe126,T1_moe127,T1_moe128,T1_moe129,T1_moe130,T1_moe131,T1_moe132,T1_moe133,T1_moe134,T1_moe135,T1_moe136,T1_moe137,T1_moe138,T1_moe139,T1_moe140,T1_moe141,T1_moe142,T1_moe143,T1_moe144,T1_moe145,T1_moe146,T1_moe147,T1_moe148,T1_moe149,T1_moe150,T1_moe151,T1_moe152,T1_moe153,T1_moe154,T1_moe155,T1_moe156,T1_moe157,T1_moe158,T1_moe159,T1_moe160,T1_moe161,T1_moe162,T1_moe163,T1_moe164,T1_moe165,T1_moe166,T1_moe167,T1_moe168,T1_moe169,T1_moe170,T1_moe171,T1_moe172,T1_moe173,T1_moe174,T1_moe175,T1_moe176,T1_moe177,T1_moe178,T1_moe179,T1_moe180,T1_moe181,T1_moe182,T1_moe183,T1_moe184,T1_moe185,T1_moe186,T1_moe187,T1_moe188,T1_moe189,T1_moe190,T1_moe191,T1_moe192,T1_moe193,T1_moe194,T1_moe195,T1_moe196,T1_moe197,T1_moe198,T1_moe199,T1_moe200,T1_moe201,T1_moe202,T1_moe203,T1_moe204,T1_moe205,T1_moe206,T1_moe207,T1_moe208,T1_moe209,T1_moe210,T1_moe211,T1_moe212,T1_moe213,T1_moe214,T1_moe215,T1_moe216,T1_moe217,T1_moe218,T1_moe219,T1_moe220,T1_moe221,T1_moe222,T1_moe223,T1_moe224,T1_moe225,T1_moe226,T1_moe227,T1_moe228,T1_moe229,T1_moe230,T1_moe231,T1_moe232,T1_moe233,T1_moe234,T1_moe235,T1_moe236,T1_moe237,T1_moe238,T1_moe239,T1_moe240,T1_moe241,T1_moe242,T1_moe243,T1_moe244,T1_moe245,T1_moe246,T1_moe247,T1_moe248,T1_moe249
2013thru2017,50,05000US48001,"Anderson County, Texas",48,1,16565,11750,2575,585,355,65,0,20,0,125,25,640,455,155,4,0,0,20,4,560,360,70,0,0,0,130,0,365,300,10,0,0,0,50,0,430,285,25,15,0,0,105,0,9030,150,80,70,0,0,0,0,0,680,570,75,4,0,0,25,0,1360,900,135,15,10,0,275,25,1205,990,90,15,0,0,110,0,5640,4955,240,10,15,0,360,65,140,140,80,45,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4820,2240,525,285,200,0,0,0,20,15,770,335,305,0,0,0,100,25,705,485,140,4,0,0,75,10,130,75,4,0,4,0,30,15,115,65,50,0,0,0,4,0,2565,185,55,80,0,0,0,50,0,280,205,75,0,0,0,4,0,500,175,130,0,0,0,185,4,385,350,35,0,0,0,0,0,1215,800,225,40,0,0,130,20,15,15,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,468,336,155,134,52,31,19,31,87,23,194,182,94,10,31,31,33,18,158,127,56,31,31,31,81,31,181,151,21,31,31,31,51,31,176,100,22,28,31,31,107,31,507,76,41,66,31,31,31,31,31,164,149,61,10,31,31,35,31,265,203,96,23,13,31,148,27,248,228,52,25,31,31,87,31,428,407,122,14,21,31,170,37,77,77,51,39,31,31,31,32,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,452,382,153,102,102,31,31,31,23,22,209,153,135,31,31,31,80,29,239,193,139,2,31,31,77,16,79,60,4,31,10,31,54,26,72,44,59,31,31,31,31,31,331,100,54,54,31,31,31,58,31,128,111,66,31,31,31,4,31,161,89,85,31,31,31,108,13,141,140,46,31,31,31,31,31,232,190,100,45,31,31,103,33,20,20,18,4,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2013thru2017,50,05000US48003,"Andrews County, Texas",48,3,5415,3980,640,165,80,0,0,0,10,75,0,165,30,0,0,0,0,135,0,120,60,0,0,0,0,60,0,20,0,0,0,0,0,20,0,165,70,0,0,0,0,100,0,3300,85,10,0,0,0,0,75,0,230,115,4,0,0,0,105,0,380,195,0,0,0,0,185,0,295,100,10,0,0,0,185,0,2310,1290,0,20,4,0,960,40,40,40,15,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430,630,170,35,25,0,0,0,95,10,205,70,0,0,0,0,130,0,105,60,0,0,0,0,40,0,60,4,0,0,0,0,55,0,95,25,0,0,0,0,35,30,800,60,15,0,0,0,0,45,0,35,20,0,0,0,0,15,0,125,85,15,0,0,0,25,0,115,70,15,0,0,0,35,0,465,240,15,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,264,206,70,50,21,21,21,19,52,21,112,27,21,21,21,21,112,21,82,49,21,21,21,21,60,21,36,21,21,21,21,21,36,21,95,51,21,21,21,21,77,21,295,60,19,21,21,21,21,57,21,95,62,11,21,21,21,78,21,121,73,21,21,21,21,94,21,132,52,15,21,21,21,114,21,278,162,21,32,10,21,209,36,35,35,21,21,21,21,21,31,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,252,193,91,29,40,21,21,21,72,18,118,68,21,21,21,21,95,21,73,68,21,21,21,21,49,21,58,17,21,21,21,21,55,21,75,31,21,21,21,21,51,49,180,52,18,21,21,21,21,50,21,35,21,21,21,21,21,29,21,66,59,22,21,21,21,34,21,88,63,27,21,21,21,40,21,140,105,26,21,21,21,103,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
2013thru2017,50,05000US48005,"Angelina County, Texas",48,5,30930,20425,3825,1055,745,65,40,0,0,205,0,890,575,110,10,0,0,195,0,950,495,75,10,0,0,340,30,340,175,20,25,0,0,120,0,590,390,15,30,0,0,145,10,16430,295,205,45,0,0,0,40,4,835,685,45,0,0,0,80,25,2380,1720,195,4,0,0,450,10,1735,1370,40,0,0,0,295,30,11185,8815,965,70,30,0,1235,70,170,170,125,30,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10505,5155,1575,765,575,0,0,0,230,10,1940,820,670,4,0,0,440,10,1035,490,345,10,0,0,150,45,185,115,45,0,0,0,25,0,415,315,0,0,0,0,100,0,5065,370,155,165,0,0,0,45,4,465,315,140,0,0,0,4,4,700,405,170,0,4,0,120,0,810,375,290,30,0,0,115,0,2720,1940,490,10,0,0,180,100,285,285,125,90,10,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,609,439,227,178,50,55,31,31,106,31,227,194,67,15,31,31,92,31,225,189,50,21,31,31,126,34,135,82,39,33,31,31,89,31,181,152,16,35,31,31,122,13,644,113,84,53,31,31,31,44,14,197,179,31,31,31,31,55,36,348,270,105,15,31,31,127,23,274,263,33,31,31,31,110,38,511,465,197,43,29,31,243,43,100,100,89,29,31,31,31,24,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,541,488,243,152,176,31,31,31,118,17,358,232,180,4,31,31,154,20,231,163,128,21,31,31,83,43,83,66,50,31,31,31,41,31,155,125,31,31,31,31,92,31,476,158,104,106,31,31,31,41,14,139,127,79,31,31,31,13,11,204,140,92,31,5,31,82,31,199,145,135,44,31,31,71,31,338,307,164,15,31,31,68,82,159,159,93,95,18,31,31,85,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
2013thru2017,50,05000US48007,"Aransas County, Texas",48,7,9530,7040,1645,480,375,0,4,0,0,95,0,280,260,10,0,0,0,10,0,365,205,0,15,0,0,135,10,175,175,0,0,0,0,0,0,345,315,0,0,0,0,30,0,5370,30,30,0,0,0,0,0,0,435,260,0,0,0,0,175,0,795,645,0,0,0,0,145,4,455,395,4,0,0,0,50,0,3655,2940,10,130,0,0,550,30,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2490,1210,405,320,0,0,0,0,80,4,415,340,0,15,0,0,55,4,205,135,0,0,0,0,45,25,100,15,0,10,0,0,70,0,90,35,0,0,0,0,45,10,1280,195,75,0,0,0,0,120,0,80,25,4,0,0,0,50,0,175,105,25,0,0,0,40,4,235,30,0,0,0,0,205,0,595,435,45,0,0,0,95,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506,346,265,143,135,25,18,25,25,75,25,114,109,19,25,25,25,17,25,137,88,25,32,25,25,121,14,106,106,25,25,25,25,25,25,134,127,25,25,25,25,42,25,405,32,32,25,25,25,25,25,25,143,121,25,25,25,25,88,25,243,233,25,25,25,25,108,3,156,155,21,25,25,25,45,25,331,257,22,82,25,25,221,27,20,20,20,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,411,333,187,168,25,25,25,25,71,12,202,180,25,25,25,25,71,3,111,98,25,25,25,25,46,24,114,26,25,29,25,25,110,25,68,42,25,25,25,25,52,20,321,174,88,25,25,25,25,156,25,73,36,5,25,25,25,69,25,115,80,46,25,25,25,62,3,183,35,25,25,25,25,178,25,199,171,41,25,25,25,76,27,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
2013thru2017,50,05000US48009,"Archer County, Texas",48,9,3350,2750,435,95,90,0,0,0,0,4,0,100,100,0,0,0,0,0,0,140,115,0,0,15,0,0,10,25,25,0,0,0,0,0,0,75,75,0,0,0,0,4,0,2315,25,15,0,0,0,0,10,0,105,95,0,0,0,0,10,0,235,215,0,0,0,0,20,0,195,180,0,0,0,0,15,0,1760,1680,0,0,0,0,55,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,195,55,50,0,0,0,0,4,0,55,40,0,0,0,0,10,0,65,60,0,0,0,0,4,0,4,4,0,0,0,0,0,0,15,15,0,0,0,0,0,0,405,55,50,0,0,0,0,4,0,65,55,0,0,0,0,10,0,85,65,0,0,0,0,15,0,65,60,0,0,0,0,0,4,135,120,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,136,102,43,42,19,19,19,19,7,19,64,64,19,19,19,19,19,19,65,56,19,19,24,19,19,19,19,19,19,19,19,19,19,19,35,34,19,19,19,19,3,19,135,21,16,19,19,19,19,16,19,45,44,19,19,19,19,13,19,80,68,19,19,19,19,34,19,60,59,19,19,19,19,16,19,121,116,19,19,19,19,32,33,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,98,73,39,36,19,19,19,19,14,19,38,34,19,19,19,19,19,19,39,42,19,19,19,19,13,19,10,10,19,19,19,19,19,19,26,26,19,19,19,19,19,19,79,28,27,19,19,19,19,3,19,33,30,19,19,19,19,16,19,46,43,19,19,19,19,17,19,38,38,19,19,19,19,19,13,45,43,19,19,19,19,1,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
2013thru2017,50,05000US48011,"Armstrong County, Texas",48,11,700,570,50,35,35,0,0,0,0,0,0,10,10,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,4,4,0,0,0,0,0,0,25,25,0,0,0,0,0,0,50,50,0,0,0,0,0,0,55,50,0,0,0,0,4,0,380,345,0,0,4,0,30,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,40,15,15,0,0,0,0,0,0,4,4,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,10,4,0,0,0,0,4,0,15,15,0,0,0,0,0,0,10,10,0,0,0,0,0,0,60,60,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,49,24,22,22,13,13,13,13,13,13,11,11,13,13,13,13,13,13,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,49,12,12,13,13,13,13,13,13,17,17,13,13,13,13,13,13,23,23,13,13,13,13,13,13,26,26,13,13,13,13,2,13,49,47,13,13,3,13,25,13,2,2,2,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,41,23,14,14,13,13,13,13,13,13,15,15,13,13,13,13,13,13,19,19,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,33,13,13,13,13,13,13,13,13,15,13,13,13,13,13,6,13,14,14,13,13,13,13,13,13,12,12,13,13,13,13,13,13,31,31,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
2013thru2017,50,05000US48013,"Atascosa County, Texas",48,13,15510,11535,2215,540,190,0,0,0,0,350,0,365,110,0,0,0,0,225,30,390,95,10,0,0,0,285,0,105,30,0,0,0,0,75,0,820,290,0,0,0,0,520,10,9250,315,110,0,0,0,0,205,0,660,165,0,0,0,0,495,0,1285,400,40,0,0,0,845,4,950,260,0,10,0,0,675,0,6045,3400,35,30,0,0,2525,50,70,70,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3970,1395,395,55,0,0,0,0,300,40,305,100,0,0,0,0,155,50,385,165,0,0,0,0,220,0,135,50,0,0,0,0,85,0,175,0,0,0,0,0,175,4,2530,250,100,10,0,15,0,125,0,180,50,0,0,0,0,125,0,395,230,0,0,0,0,165,0,415,35,0,0,0,0,380,0,1290,670,50,0,0,0,530,40,45,45,4,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,438,339,163,97,28,28,28,28,145,28,141,76,28,28,28,28,102,37,128,61,22,28,28,28,115,28,83,33,28,28,28,28,75,28,218,120,28,28,28,28,173,19,498,169,111,28,28,28,28,132,28,193,80,28,28,28,28,193,28,267,121,47,28,28,28,220,7,280,129,28,27,28,28,242,28,485,309,60,37,28,28,330,43,66,66,28,28,28,28,28,66,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,413,273,179,38,28,28,28,28,160,61,157,88,28,28,28,28,131,55,177,120,28,28,28,28,131,28,82,40,28,28,28,28,71,28,113,28,28,28,28,28,114,8,382,120,97,24,28,32,28,78,28,96,44,28,28,28,28,95,28,152,122,28,28,28,28,85,28,191,37,28,28,28,28,189,28,291,200,49,28,28,28,187,70,50,50,19,28,28,28,28,47,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
2013thru2017,50,05000US48015,"Austin County, Texas",48,15,11020,8175,1580,400,220,30,0,0,0,135,15,320,185,25,0,0,0,100,10,300,225,10,0,0,0,45,25,145,105,0,0,0,0,40,0,420,255,15,0,0,0,150,0,6540,150,45,75,0,0,0,4,25,330,300,15,0,0,0,15,0,875,710,75,0,0,0,85,0,660,345,165,4,0,0,145,0,4525,3805,170,0,0,0,515,40,55,55,45,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2845,1405,485,215,120,0,0,0,145,0,665,380,40,0,0,0,245,0,175,55,70,0,0,0,50,0,65,30,0,0,0,0,35,0,15,15,0,0,0,0,0,0,1430,220,120,35,0,0,0,65,0,65,55,10,0,0,0,0,0,420,245,90,0,0,0,60,20,150,45,50,0,0,0,55,0,575,490,10,4,0,0,70,0,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,338,226,140,89,31,25,25,25,93,24,111,73,31,25,25,25,69,18,120,113,14,25,25,25,44,34,86,75,25,25,25,25,39,25,142,93,25,25,25,25,113,25,390,87,42,62,25,25,25,19,38,152,145,24,25,25,25,20,25,199,174,45,25,25,25,52,25,206,129,124,7,25,25,97,25,391,335,87,25,25,25,167,35,45,45,42,21,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,328,274,167,107,88,25,25,25,95,25,248,188,38,25,25,25,142,25,112,49,85,25,25,25,59,25,65,51,25,25,25,25,41,25,31,31,25,25,25,25,25,25,254,96,57,41,25,25,25,65,25,49,46,16,25,25,25,25,25,142,102,86,25,25,25,60,35,96,33,60,25,25,25,61,25,187,172,14,7,25,25,70,25,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
2013thru2017,50,05000US48017,"Bailey County, Texas",48,17,2230,1610,405,70,0,0,15,0,0,55,0,110,55,0,0,0,0,55,0,155,15,0,0,4,0,130,0,0,0,0,0,0,0,0,0,70,20,0,0,0,0,50,0,1115,0,0,0,0,0,0,0,0,10,4,0,0,0,0,10,0,240,75,0,0,0,0,165,0,185,100,0,0,0,0,80,0,680,560,0,0,0,0,120,0,95,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,320,65,40,0,10,0,0,15,0,90,0,0,0,0,0,90,0,100,0,30,0,0,0,65,0,40,0,0,0,0,0,40,0,25,0,0,0,0,0,25,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,10,0,0,0,0,50,0,4,0,0,0,0,0,4,0,225,100,0,0,0,0,125,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,255,139,56,19,19,22,19,19,50,19,65,42,19,19,19,19,54,19,104,28,19,19,11,19,102,19,19,19,19,19,19,19,19,19,60,37,19,19,19,19,53,19,211,19,19,19,19,19,19,19,19,18,2,19,19,19,19,17,19,116,57,19,19,19,19,99,19,99,67,19,19,19,19,76,19,167,146,19,19,19,19,76,19,117,117,117,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,187,125,57,44,19,23,19,19,23,19,94,19,19,19,19,19,94,19,82,19,40,19,19,19,70,19,48,19,19,19,19,19,48,19,32,19,19,19,19,19,32,19,162,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,52,16,19,19,19,19,49,19,16,19,19,19,19,19,16,19,155,84,19,19,19,19,109,19,17,17,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
2013thru2017,50,05000US48019,"Bandera County, Texas",48,19,8280,7005,1385,475,455,0,0,0,0,20,0,170,145,0,0,0,0,25,0,305,270,0,0,25,0,10,0,185,125,0,0,0,0,60,0,245,220,0,0,0,0,30,0,5480,220,165,0,0,0,0,50,0,255,245,0,0,0,0,0,10,680,540,15,0,0,0,120,4,635,505,0,0,0,0,105,25,3690,3205,15,0,10,0,425,35,145,145,110,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1270,535,135,115,0,0,0,0,10,15,265,210,0,0,0,0,55,0,80,75,0,0,0,0,0,4,45,45,0,0,0,0,0,0,10,10,0,0,0,0,0,0,695,15,15,0,0,0,0,0,0,80,80,0,0,0,0,0,0,215,165,0,0,0,0,50,0,60,45,0,0,0,0,15,0,325,260,0,4,0,0,45,10,40,40,25,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,379,292,172,170,25,25,25,25,27,25,76,77,25,25,25,25,42,25,117,116,25,25,36,25,18,25,106,90,25,25,25,25,57,25,101,99,25,25,25,25,32,25,394,131,119,25,25,25,25,57,25,95,93,25,25,25,25,25,16,181,137,25,25,25,25,99,14,169,134,25,25,25,25,90,37,298,297,25,25,23,25,145,46,95,95,77,25,25,25,25,55,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,249,189,94,85,25,25,25,25,17,28,123,100,25,25,25,25,63,25,89,89,25,25,25,25,25,4,45,45,25,25,25,25,25,25,13,13,25,25,25,25,25,25,168,23,23,25,25,25,25,25,25,84,84,25,25,25,25,25,25,93,81,25,25,25,25,52,25,47,38,25,25,25,25,29,25,126,109,25,10,25,25,44,21,39,39,28,25,25,25,25,25,31,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
