source,sumlevel,geoid,name,st,cnty,T9_est1,T9_est2,T9_est3,T9_est4,T9_est5,T9_est6,T9_est7,T9_est8,T9_est9,T9_est10,T9_est11,T9_est12,T9_est13,T9_est14,T9_est15,T9_est16,T9_est17,T9_est18,T9_est19,T9_est20,T9_est21,T9_est22,T9_est23,T9_est24,T9_est25,T9_est26,T9_est27,T9_est28,T9_est29,T9_est30,T9_est31,T9_est32,T9_est33,T9_est34,T9_est35,T9_est36,T9_est37,T9_est38,T9_est39,T9_est40,T9_est41,T9_est42,T9_est43,T9_est44,T9_est45,T9_est46,T9_est47,T9_est48,T9_est49,T9_est50,T9_est51,T9_est52,T9_est53,T9_est54,T9_est55,T9_est56,T9_est57,T9_est58,T9_est59,T9_est60,T9_est61,T9_est62,T9_est63,T9_est64,T9_est65,T9_est66,T9_est67,T9_est68,T9_est69,T9_est70,T9_est71,T9_est72,T9_est73,T9_moe1,T9_moe2,T9_moe3,T9_moe4,T9_moe5,T9_moe6,T9_moe7,T9_moe8,T9_moe9,T9_moe10,T9_moe11,T9_moe12,T9_moe13,T9_moe14,T9_moe15,T9_moe16,T9_moe17,T9_moe18,T9_moe19,T9_moe20,T9_moe21,T9_moe22,T9_moe23,T9_moe24,T9_moe25,T9_moe26,T9_moe27,T9_moe28,T9_moe29,T9_moe30,T9_moe31,T9_moe32,T9_moe33,T9_moe34,T9_moe35,T9_moe36,T9_moe37,T9_moe38,T9_moe39,T9_moe40,T9_moe41,T9_moe42,T9_moe43,T9_moe44,T9_moe45,T9_moe46,T9_moe47,T9_moe48,T9_moe49,T9_moe50,T9_moe51,T9_moe52,T9_moe53,T9_moe54,T9_moe55,T9_moe56,T9_moe57,T9_moe58,T9_moe59,T9_moe60,T9_moe61,T9_moe62,T9_moe63,T9_moe64,T9_moe65,T9_moe66,T9_moe67,T9_moe68,T9_moe69,T9_moe70,T9_moe71,T9_moe72,T9_moe73
2013thru2017,50,05000US48001,"Anderson County, Texas",48,1,16565,11750,9315,7765,960,515,80,985,655,220,65,45,60,40,15,4,0,45,25,0,20,0,0,0,0,0,0,1220,860,255,90,20,120,100,0,20,0,4820,2840,1705,650,475,10,1245,580,365,295,4,40,40,0,0,0,4,0,4,0,0,0,0,0,0,0,600,515,70,15,0,90,40,25,25,0,424,468,457,476,192,187,51,215,163,110,54,39,42,36,28,10,31,31,22,31,19,31,31,31,31,31,31,275,211,151,73,32,47,42,31,21,31,452,343,247,219,138,18,275,163,173,133,4,42,42,31,31,31,10,31,10,31,31,31,31,31,31,31,176,176,61,21,31,59,46,30,24,31
2013thru2017,50,05000US48003,"Andrews County, Texas",48,3,5415,3980,1965,1755,100,95,15,15,15,0,0,0,20,20,0,0,0,4,4,0,0,0,10,0,10,0,0,1930,1635,175,95,25,40,40,0,0,0,1430,630,450,135,50,0,75,45,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685,480,90,115,0,45,30,0,10,0,193,264,168,180,56,67,21,18,18,21,21,21,32,32,21,21,21,10,10,21,21,21,19,21,19,21,21,216,212,106,94,31,36,36,21,21,21,252,151,134,86,37,21,52,46,21,40,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,194,173,65,77,21,57,49,21,18,21
2013thru2017,50,05000US48005,"Angelina County, Texas",48,5,30930,20425,15305,13165,1105,900,135,1610,1315,180,90,30,190,125,20,40,0,30,30,0,0,0,0,0,0,0,0,3115,2470,240,390,15,180,150,30,0,0,10505,5825,3515,1055,1105,150,2970,1360,710,815,90,65,40,10,4,10,4,4,0,0,0,0,0,0,0,0,1470,680,400,330,60,175,145,25,10,0,527,609,474,529,260,211,89,242,231,94,71,29,55,51,26,54,31,29,29,31,31,31,31,31,31,31,31,245,242,102,131,24,72,69,34,31,31,541,475,398,225,224,101,318,234,176,222,95,54,48,21,4,18,5,5,31,31,31,31,31,31,31,31,266,140,163,148,85,94,87,35,20,31
2013thru2017,50,05000US48007,"Aransas County, Texas",48,7,9530,7040,5630,4380,640,585,25,30,30,0,0,0,150,130,25,0,0,0,0,0,0,0,0,0,0,0,0,1185,960,145,80,0,40,30,10,0,0,2490,1510,700,390,420,0,75,75,0,0,0,25,15,10,0,0,0,0,0,0,0,0,0,0,0,0,815,525,240,50,0,65,25,35,10,0,506,346,320,336,194,147,20,33,33,25,25,25,80,82,35,25,25,25,25,25,25,25,25,25,25,25,25,233,239,114,62,25,36,32,14,25,25,411,333,215,172,194,25,55,55,25,25,25,40,25,29,25,25,25,25,25,25,25,25,25,25,25,25,226,232,142,62,25,34,27,23,13,25
2013thru2017,50,05000US48009,"Archer County, Texas",48,9,3350,2750,2590,2215,205,165,0,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,115,110,4,4,0,35,25,0,10,0,600,530,370,100,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,45,10,0,0,15,15,0,0,0,138,136,137,132,57,73,19,19,19,19,19,19,19,19,19,19,19,24,24,19,19,19,19,19,19,19,19,37,36,3,7,19,38,33,19,19,19,98,93,76,55,36,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,34,27,19,19,19,20,20,19,19,19
2013thru2017,50,05000US48011,"Armstrong County, Texas",48,11,700,570,530,480,4,45,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,135,130,90,20,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,48,49,51,50,13,24,2,13,13,13,13,13,13,13,13,13,13,3,3,13,13,13,13,13,13,13,13,25,25,13,13,13,13,13,13,13,13,41,43,34,20,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,13,13,13,13,13,13,13,13
2013thru2017,50,05000US48013,"Atascosa County, Texas",48,13,15510,11535,5040,4510,335,200,0,90,75,0,10,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,6265,5405,400,395,70,95,75,4,10,0,3970,1465,1145,215,100,4,60,60,0,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,2295,1560,405,295,40,135,40,4,90,0,407,438,317,323,141,98,28,72,69,28,22,28,36,36,28,28,28,28,28,28,28,28,28,28,28,28,28,356,379,125,141,66,59,55,19,24,28,413,255,222,116,93,19,49,49,28,28,28,28,28,28,28,28,32,32,28,28,28,28,28,28,28,28,299,284,161,165,47,80,70,8,69,28
2013thru2017,50,05000US48015,"Austin County, Texas",48,15,11020,8175,6240,5265,580,350,45,590,510,40,25,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1230,990,125,60,60,110,65,25,25,0,2845,1665,1005,405,245,15,425,225,95,105,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,730,290,260,180,0,20,20,0,0,0,295,338,316,327,180,129,42,129,141,38,29,21,7,7,25,25,25,25,25,25,25,25,25,25,25,25,25,173,163,66,51,77,68,52,34,28,25,328,261,205,181,107,24,150,115,89,76,25,7,7,25,25,25,25,25,25,25,25,25,25,25,25,25,190,122,134,132,25,35,35,25,25,25
2013thru2017,50,05000US48017,"Bailey County, Texas",48,17,2230,1610,920,760,45,25,95,0,0,0,0,0,15,0,0,15,0,4,0,0,4,0,0,0,0,0,0,665,450,180,35,0,0,0,0,0,0,620,160,110,0,40,10,30,30,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,420,275,135,10,0,0,0,0,0,0,189,255,160,166,39,31,117,19,19,19,19,19,22,19,19,22,19,11,19,19,11,19,19,19,19,19,19,161,148,104,37,19,19,19,19,19,19,187,90,84,19,44,17,40,40,19,19,19,23,19,19,23,19,19,19,19,19,19,19,19,19,19,19,149,133,113,19,19,19,19,19,19,19
2013thru2017,50,05000US48019,"Bandera County, Texas",48,19,8280,7005,5985,4795,535,550,110,25,25,0,0,0,0,0,0,0,0,35,10,20,4,0,0,0,0,0,0,885,740,85,30,35,75,75,0,0,0,1270,1050,665,240,120,25,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,175,150,15,10,0,40,10,4,15,15,432,379,358,349,147,185,77,33,33,25,25,25,25,25,25,25,25,44,23,41,7,25,25,25,25,25,25,134,145,68,33,55,64,64,25,25,25,249,212,156,141,78,28,25,25,25,25,25,10,10,25,25,25,25,25,25,25,25,25,25,25,25,25,91,82,22,17,25,47,21,4,28,31
