OBJECTID_1,GEOID,STATE,STUSAB,STATE_NAME,COUNTY,NAME,B25002EST1,B25002EST2,B25002EST2_PCT,B25002EST3,B25002EST3_PCT,B25009EST2,B25009EST2_PCT,B25009EST3,B25009EST3_PCT,B25009EST4,B25009EST4_PCT,B25009EST5,B25009EST5_PCT,B25009EST6,B25009EST6_PCT,B25009EST7,B25009EST7_PCT,B25009_OWNOCC_6PLUS,B25009_OWN_6PLUS_PCT,B25009EST10,B25009EST10_PCT,B25009EST11,B25009EST11_PCT,B25009EST12,B25009EST12_PCT,B25009EST13,B25009EST13_PCT,B25009EST14,B25009EST14_PCT,B25009EST15,B25009EST15_PCT,B25009_RENTOCC_6PLUS,B25009_RENT_6PLUS_PCT,B25009_TOT_1,B25009_TOT_1_PCT,B25009_TOT_2,B25009_TOT_2_PCT,B25009_TOT_3,B25009_TOT_3_PCT,B25009_TOT_4,B25009_TOT_4_PCT,B25009_TOT_5,B25009_TOT_5_PCT,B25009_TOT_6PLUS,B25009_TOT_6PLUS_PCT,B25037EST3,B25041EST2,B25041EST2_PCT,B25041EST3,B25041EST3_PCT,B25041EST4,B25041EST4_PCT,B25041_3PLUS_BDR,B25041_3PLUS_BDR_PCT,B25021EST1,B25021EST2,B25021EST3,B25024EST2,B25024EST2_PCT,B25024EST3,B25024EST3_PCT,B25024_2TO4,B25024_2TO4_PCT,B25024_5TO19,B25024_5TO19_PCT,B25024_20PLUS,B25024_20PLUS_PCT,B25024_OTHER,B25024_OTHER_PCT,B25032EST2,B25032EST3,B25032EST3_PCT,B25032EST4,B25032EST4_PCT,B25032_OWN_2TO4,B25032_OWN_2TO4_PCT,B25032_OWN_5TO19,B25032_OWN_5TO19_PCT,B25032_OWN_20PLUS,B25032_OWN_20PLUS_PCT,B25032_OWN_OTHER,B25032_OWN_OTHER_PCT,B25032EST13,B25032EST14,B25032EST14_PCT,B25032EST15,B25032EST15_PCT,B25032_RENT_2TO4,B25032_RENT_2TO4_PCT,B25032_RENT_5TO19,B25032_RENT_5TO19_PCT,B25032_RENT_20PLUS,B25032_RENT_20PLUS_PCT,B25032_RENT_OTHER,B25032_RENT_OTHER_PCT,B25036_OWN_2KPLUS,B25036_OWN_2KPLUS_PCT,B25036_OWN_80TO99,B25036_OWN_80TO99_PCT,B25036_OWN_50TO79,B25036_OWN_50TO79_PCT,B25036_OWN_49MINUS,B25036_OWN_49MINUS_PCT,B25036_RENT_2KPLUS,B25036_RENT_2KPLUS_PCT,B25036_RENT_80TO99,B25036_RENT_80TO99_PCT,B25036_RENT_50TO79,B25036_RENT_50TO79_PCT,B25036_RENT_49MINUS,B25036_RENT_49MINUS_PCT,B25036_RENT_80MINUS,B25036_RENT_80MINUS_PCT,B25036_TOT_2KPLUS,B25036_TOT_2KPLUS_PCT,B25036_TOT_80TO99,B25036_TOT_80TO99_PCT,B25036_TOT_50TO79,B25036_TOT_50TO79_PCT,B25036_TOT_49MINUS,B25036_TOT_49MINUS_PCT,B25068EST2,B25068EST2_PCT,B25068EST4,B25068EST4_PCT,B25068_0BDR_200TO499,B25068_0BDR_200TO499_PCT,B25068_0BDR_500TO999,B25068_0BDR_500TO999_PCT,B25068EST9,B25068EST9_PCT,B25068EST10,B25068EST10_PCT,B25068EST11,B25068EST11_PCT,B25068EST13,B25068EST13_PCT,B25068_1BDR_200TO499,B25068_1BDR_200TO499_PCT,B25068_1BDR_500TO999,B25068_1BDR_500TO999_PCT,B25068EST18,B25068EST18_PCT,B25068EST19,B25068EST19_PCT,B25068EST20,B25068EST20_PCT,B25068EST22,B25068EST22_PCT,B25068_2BDR_200TO499,B25068_2BDR_200TO499_PCT,B25068_2BDR_500TO999,B25068_2BDR_500TO999_PCT,B25068EST27,B25068EST27_PCT,B25068EST28,B25068EST28_PCT,B25068EST29,B25068EST29_PCT,B25068EST31,B25068EST31_PCT,B25068_3PLUSBDR_200TO499,B25068_3PLUSBDR_200TO499_PCT,B25068_3PLUSBDR_500TO999,B25068_3PLUSBDR_500TO999_PCT,B25068EST36,B25068EST36_PCT,B25068EST37,B25068EST37_PCT,B25056_500MINUS,B25056_500MINUS_PCT,B25056_500TO599,B25056_500TO599_PCT,B25056_600TO699,B25056_600TO699_PCT,B25056_700TO799,B25056_700TO799_PCT,B25056EST18,B25056EST18_PCT,B25056EST19,B25056EST19_PCT,B25056EST20,B25056EST20_PCT,B25056EST21,B25056EST21_PCT,B25056EST22,B25056EST22_PCT,B25056EST23,B25056EST23_PCT,B25056EST24,B25056EST24_PCT,B25058EST1,B25042EST3,B25042EST3_PCT,B25042EST4,B25042EST4_PCT,B25042EST5,B25042EST5_PCT,B25042_OWN_3PLUS_BDR,B25042_OWN_3PLUS_BDR_PCT,B25042EST10,B25042EST10_PCT,B25042EST11,B25042EST11_PCT,B25042EST12,B25042EST12_PCT,B25042_RENT_3PLUS_BDR,B25042_RENT_3PLUS_BDR_PCT,B25097EST1,B25097EST2,B25097EST3,B25123_TOT,B25123_TOT_1,B25123_TOT_2,B25123_TOT_3,B25123_TOT_4,B25123EST3,B25123EST3_PCT,B25123EST4,B25123EST4_PCT,B25123EST5,B25123EST5_PCT,B25123EST6,B25123EST6_PCT,B25123EST7,B25123EST7_PCT,B25123EST9,B25123EST9_PCT,B25123EST10,B25123EST10_PCT,B25123EST11,B25123EST11_PCT,B25123EST12,B25123EST12_PCT,B25123EST13,B25123EST13_PCT,Shape__Area,Shape__Length
1895,48229,48,TX,Texas,229,Hudspeth,1595,1127,70.66,468,29.34,828,73.47,216,26.09,357,43.12,95,11.47,77,9.3,62,7.49,21,2.54,299,26.53,157,52.51,104,34.78,6,2.01,24,8.03,8,2.68,0,0,373,33.1,461,40.91,101,8.96,101,8.96,70,6.21,21,1.86,1980,46,2.88,202,12.66,446,27.96,901,56.49,5.3,5.3,5.3,865,54.23,39,2.45,5,0.31,0,0,0,0,686,43.01,828,435,52.54,29,3.5,0,0,0,0,0,0,364,43.96,299,178,59.53,10,3.34,0,0,0,0,0,0,111,37.12,158,19.08,339,40.94,299,36.11,32,3.86,24,8.03,130,43.48,92,30.77,53,17.73,145,48.49,182,16.15,469,41.61,391,34.69,85,7.54,0,0,0,0,0,0,0,0,0,0,0,0,36,12.04,9,25,27,75,0,0,0,0,0,0,120,40.13,0,0,0,0,74,61.67,0,0,46,38.33,143,47.83,26,18.18,0,0,34,23.78,5,3.5,78,54.55,118,39.46,3,1,21,7.02,28,9.36,5,1.67,0,0,0,0,0,0,0,0,0,0,124,41.47,375,9,1.09,88,10.63,206,24.88,525,63.41,0,0,36,12.04,120,40.13,143,47.83,54500,65700,48100,772,317,38,0,0,282,34.06,13,1.57,0,0,0,0,533,64.37,35,11.71,25,8.36,0,0,0,0,239,79.93,16320374180,606052.1814
1896,48231,48,TX,Texas,231,Hunt,38119,33596,88.13,4523,11.87,23357,69.52,4862,20.82,9207,39.42,3738,16,2640,11.3,1911,8.18,999,4.28,10239,30.48,3417,33.37,2519,24.6,1845,18.02,1145,11.18,674,6.58,639,6.24,8279,24.64,11726,34.9,5583,16.62,3785,11.27,2585,7.69,1638,4.88,1982,1112,2.92,3016,7.91,8582,22.51,25409,66.66,5.3,5.8,4.3,25764,67.59,417,1.09,1404,3.68,3063,8.04,941,2.47,6530,17.13,23357,18901,80.92,187,0.8,35,0.15,0,0,25,0.11,4209,18.02,10239,4206,41.08,153,1.49,1223,11.94,2592,25.31,845,8.25,1220,11.92,6801,29.12,7816,33.46,7204,30.84,1536,6.58,1622,15.84,3862,37.72,4316,42.15,439,4.29,4755,46.44,8423,25.07,11678,34.76,11520,34.29,1975,5.88,616,6.02,11,1.79,53,8.6,382,62.01,159,13803.41,11,1.79,1888,18.44,68,3.6,122,6.46,1280,67.8,389,20.6,29,1.54,3593,35.09,83,2.31,80,2.23,2023,56.3,1262,35.12,145,4.04,4142,40.45,5,0.12,77,1.86,1188,28.68,2527,61.01,345,8.33,1488,14.53,1052,10.27,1424,13.91,1898,18.54,1194,11.66,918,8.97,1110,10.84,395,3.86,159,1.55,71,0.69,530,5.18,747,325,1.39,698,2.99,3471,14.86,18863,80.76,616,6.02,1888,18.44,3593,35.09,4142,40.45,135800,163400,103800,22971,9876,742,7,0,5431,23.25,289,1.24,0,0,0,0,17637,75.51,4445,43.41,453,4.42,7,0.07,0,0,5334,52.09,3265862251,251176.3161
1897,48233,48,TX,Texas,233,Hutchinson,10652,7074,66.41,3578,33.59,5658,79.98,1387,24.51,2267,40.07,987,17.44,555,9.81,371,6.56,91,1.61,1416,20.02,608,42.94,326,23.02,128,9.04,251,17.73,85,6,18,1.27,1995,28.2,2593,36.66,1115,15.76,806,11.39,456,6.45,109,1.54,1973,155,1.46,588,5.52,3287,30.86,6622,62.17,5.9,6.2,4.4,8450,79.33,109,1.02,545,5.12,489,4.59,69,0.65,990,9.29,5658,5080,89.78,17,0.3,4,0.07,4,0.07,0,0,553,9.77,1416,717,50.64,88,6.21,331,23.38,211,14.9,69,4.87,0,0,421,7.44,1657,29.29,2884,50.97,696,12.3,186,13.14,411,29.03,714,50.42,105,7.42,819,57.84,607,8.58,2068,29.23,3598,50.86,801,11.32,39,2.75,0,0,0,0,0,0,39,3900,0,0,272,19.21,81,29.78,65,23.9,111,40.81,15,5.51,0,0,548,38.7,73,13.32,51,9.31,284,51.82,108,19.71,32,5.84,557,39.34,0,0,23,4.13,289,51.89,141,25.31,104,18.67,424,29.94,153,10.81,191,13.49,152,10.73,147,10.38,69,4.87,42,2.97,71,5.01,11,0.78,20,1.41,136,9.6,624,34,0.6,89,1.57,1052,18.59,4483,79.23,39,2.75,272,19.21,548,38.7,557,39.34,81600,87800,73200,5777,1260,37,0,0,866,15.31,27,0.48,0,0,0,0,4765,84.22,394,27.82,10,0.71,0,0,0,0,1012,71.47,3534678755,237913.0183
1898,48235,48,TX,Texas,235,Irion,885,636,71.86,249,28.14,525,82.55,170,32.38,224,42.67,80,15.24,19,3.62,8,1.52,24,4.57,111,17.45,28,25.23,8,7.21,17,15.32,30,27.03,0,0,28,25.23,198,31.13,232,36.48,97,15.25,49,7.7,8,1.26,52,8.18,1982,31,3.5,63,7.12,274,30.96,517,58.42,5.3,5.4,4.6,750,84.75,7,0.79,0,0,12,1.36,0,0,116,13.11,525,465,88.57,0,0,0,0,0,0,0,0,60,11.43,111,92,82.88,0,0,0,0,12,10.81,0,0,7,6.31,57,10.86,245,46.67,117,22.29,106,20.19,0,0,64,57.66,26,23.42,21,18.92,47,42.34,57,8.96,309,48.58,143,22.48,127,19.97,0,0,0,0,0,0,0,0,0,0,0,0,5,4.5,0,0,0,0,5,100,0,0,0,0,46,41.44,0,0,0,0,26,56.52,12,26.09,8,17.39,60,54.05,0,0,0,0,18,30,42,70,0,0,8,7.21,0,0,44,39.64,12,10.81,12,10.81,0,0,27,24.32,0,0,0,0,0,0,8,7.21,649,14,2.67,32,6.1,129,24.57,350,66.67,0,0,5,4.5,46,41.44,60,54.05,122000,142900,112700,375,227,23,11,0,139,26.48,23,4.38,11,2.1,0,0,352,67.05,88,79.28,0,0,0,0,0,0,23,20.72,3742452333,244806.2161
1899,48237,48,TX,Texas,237,Jack,4177,3169,75.87,1008,24.13,2455,77.47,647,26.35,923,37.6,420,17.11,241,9.82,114,4.64,110,4.48,714,22.53,290,40.62,132,18.49,142,19.89,62,8.68,32,4.48,56,7.84,937,29.57,1055,33.29,562,17.73,303,9.56,146,4.61,166,5.24,1975,39,0.93,206,4.93,1321,31.63,2611,62.51,5.3,5.6,4.4,3136,75.08,23,0.55,208,4.98,66,1.58,20,0.48,724,17.33,2455,2071,84.36,23,0.94,0,0,0,0,3,0.12,358,14.58,714,293,41.04,0,0,205,28.71,66,9.24,0,0,150,21.01,513,20.9,401,16.33,1137,46.31,404,16.46,71,9.94,209,29.27,297,41.6,137,19.19,434,60.78,584,18.43,610,19.25,1434,45.25,541,17.07,2,0.28,0,0,2,100,0,0,0,0,0,0,112,15.69,42,37.5,0,0,35,31.25,35,31.25,0,0,258,36.13,21,8.14,108,41.86,87,33.72,11,4.26,31,12.02,342,47.9,71,20.76,8,2.34,146,42.69,49,14.33,68,19.88,329,46.08,23,3.22,136,19.05,44,6.16,26,3.64,7,0.98,8,1.12,7,0.98,0,0,35,4.9,99,13.87,457,20,0.81,79,3.22,645,26.27,1711,69.69,2,0.28,112,15.69,258,36.13,342,47.9,95200,139600,78600,2403,734,32,0,0,545,22.2,16,0.65,0,0,0,0,1894,77.15,189,26.47,16,2.24,0,0,0,0,509,71.29,3415404602,235378.3796
1924,48239,48,TX,Texas,239,Jackson,6737,4924,73.09,1813,26.91,3469,70.45,629,18.13,1462,42.14,567,16.34,483,13.92,169,4.87,159,4.58,1455,29.55,430,29.55,384,26.39,211,14.5,275,18.9,122,8.38,33,2.27,1059,21.51,1846,37.49,778,15.8,758,15.39,291,5.91,192,3.9,1979,20,0.3,461,6.84,1735,25.75,4521,67.11,5.6,6,4.7,4802,71.28,49,0.73,174,2.58,445,6.61,9,0.13,1258,18.67,3469,2795,80.57,12,0.35,27,0.78,0,0,0,0,635,18.3,1455,870,59.79,37,2.54,122,8.38,173,11.89,9,0.62,244,16.77,651,18.77,750,21.62,1511,43.56,557,16.06,132,9.07,580,39.86,461,31.68,282,19.38,743,51.07,783,15.9,1330,27.01,1972,40.05,839,17.04,0,0,0,0,0,0,0,0,0,0,0,0,153,10.52,6,3.92,0,0,106,69.28,0,0,41,26.8,643,44.19,51,7.93,23,3.58,494,76.83,44,6.84,31,4.82,659,45.29,0,0,0,0,249,37.78,282,42.79,128,19.42,227,15.6,269,18.49,296,20.34,170,11.68,125,8.59,56,3.85,103,7.08,9,0.62,0,0,0,0,200,13.75,629,20,0.58,92,2.65,541,15.6,2816,81.18,0,0,153,10.52,643,44.19,659,45.29,110100,142900,93300,3839,1028,57,0,0,508,14.64,20,0.58,0,0,0,0,2941,84.78,520,35.74,37,2.54,0,0,0,0,898,61.72,2889976653,302365.199
1925,48241,48,TX,Texas,241,Jasper,17375,13725,78.99,3650,21.01,10446,76.11,2760,26.42,3987,38.17,1750,16.75,1036,9.92,541,5.18,372,3.56,3279,23.89,1130,34.46,847,25.83,328,10,568,17.32,240,7.32,166,5.06,3890,28.34,4834,35.22,2078,15.14,1604,11.69,781,5.69,538,3.92,1982,259,1.49,1279,7.36,4678,26.92,11159,64.22,5.2,5.4,4.6,9911,57.04,1298,7.47,850,4.89,329,1.89,139,0.8,4848,27.9,10446,6659,63.75,686,6.57,129,1.23,9,0.09,0,0,2963,28.36,3279,1411,43.03,392,11.95,491,14.97,238,7.26,139,4.24,608,18.54,2671,25.57,3615,34.61,3632,34.77,528,5.05,458,13.97,1364,41.6,1260,38.43,197,6.01,1457,44.43,3129,22.8,4979,36.28,4892,35.64,725,5.28,84,2.56,42,50,0,0,42,50,0,0,0,0,528,16.1,71,13.45,57,10.8,310,58.71,0,0,90,17.05,1098,33.49,81,7.38,170,15.48,613,55.83,31,2.82,203,18.49,1569,47.85,49,3.12,57,3.63,761,48.5,413,26.32,289,18.42,1379,42.06,544,16.59,268,8.17,165,5.03,94,2.87,155,4.73,80,2.44,12,0.37,0,0,0,0,582,17.75,495,67,0.64,363,3.48,2007,19.21,8009,76.67,84,2.56,528,16.1,1098,33.49,1569,47.85,105200,124600,90400,10082,3461,182,0,0,1882,18.02,70,0.67,0,0,0,0,8494,81.31,1579,48.15,112,3.42,0,0,0,0,1588,48.43,3411068457,449751.1376
1926,48243,48,TX,Texas,243,Jeff Davis,1766,991,56.12,775,43.88,830,83.75,324,39.04,442,53.25,32,3.86,2,0.24,30,3.61,0,0,161,16.25,20,12.42,53,32.92,5,3.11,0,0,0,0,83,51.55,344,34.71,495,49.95,37,3.73,2,0.2,30,3.03,83,8.38,1983,45,2.55,360,20.39,511,28.94,850,48.13,5.4,5.5,2.5,1366,77.35,8,0.45,21,1.19,0,0,0,0,371,21.01,830,713,85.9,0,0,0,0,0,0,0,0,117,14.1,161,70,43.48,0,0,0,0,0,0,0,0,91,56.52,266,32.05,288,34.7,135,16.27,141,16.99,8,4.97,97,60.25,7,4.35,49,30.43,56,34.78,274,27.65,385,38.85,142,14.33,190,19.17,0,0,0,0,0,0,0,0,0,0,0,0,83,51.55,0,0,0,0,0,0,83,100,0,0,23,14.29,0,0,0,0,12,52.17,0,0,11,47.83,55,34.16,8,14.55,0,0,9,16.36,0,0,38,69.09,8,4.97,14,8.7,0,0,90,55.9,0,0,0,0,0,0,0,0,0,0,0,0,49,30.43,,0,0,155,18.67,296,35.66,379,45.66,0,0,83,51.55,23,14.29,55,34.16,134800,146400,,811,85,95,0,0,85,10.24,12,1.45,0,0,0,0,733,88.31,0,0,83,51.55,0,0,0,0,78,48.45,7961418869,395060.7803
1927,48245,48,TX,Texas,245,Jefferson,108947,94012,86.29,14935,13.71,57859,61.54,14116,24.4,21530,37.21,8912,15.4,7419,12.82,3656,6.32,2226,3.85,36153,38.46,14935,41.31,9461,26.17,5279,14.6,3545,9.81,1800,4.98,1133,3.13,29051,30.9,30991,32.96,14191,15.09,10964,11.66,5456,5.8,3359,3.57,1979,1613,1.48,13174,12.09,29518,27.09,64642,59.33,5.4,6,4.2,77667,71.29,2112,1.94,6091,5.59,14975,13.75,4380,4.02,3722,3.42,57859,53856,93.08,1381,2.39,198,0.34,8,0.01,89,0.15,2327,4.02,36153,13626,37.69,596,1.65,4714,13.04,12640,34.96,3863,10.69,714,1.97,10277,17.76,11206,19.37,30856,53.33,5520,9.54,8159,22.57,9229,25.53,15399,42.59,3366,9.31,18765,51.9,18436,19.61,20435,21.74,46255,49.2,8886,9.45,1019,2.82,239,23.45,97,9.52,619,60.75,57,4101.57,7,0.69,10162,28.11,1129,11.11,1030,10.14,6199,61,1584,15.59,220,2.16,14282,39.5,1008,7.06,1148,8.04,7156,50.11,4292,30.05,678,4.75,10690,29.57,238,2.23,605,5.66,2573,24.07,5878,54.99,1396,13.06,8019,22.18,3691,10.21,4479,12.39,4968,13.74,4314,11.93,2429,6.72,3609,9.98,1590,4.4,617,1.71,136,0.38,2301,6.36,713,256,0.44,868,1.5,10532,18.2,46203,79.85,1019,2.82,10162,28.11,14282,39.5,10690,29.57,120300,147100,92000,67742,24935,1287,41,7,9886,17.09,471,0.81,23,0.04,7,0.01,47472,82.05,15049,41.63,816,2.26,18,0.05,0,0,20270,56.07,3414043339,329592.2102
1928,48247,48,TX,Texas,247,Jim Hogg,2370,1545,65.19,825,34.81,1102,71.33,333,30.22,370,33.58,129,11.71,123,11.16,86,7.8,61,5.54,443,28.67,57,12.87,87,19.64,113,25.51,140,31.6,5,1.13,41,9.26,390,25.24,457,29.58,242,15.66,263,17.02,91,5.89,102,6.6,1979,78,3.29,117,4.94,843,35.57,1332,56.2,5.2,5.5,4.2,1831,77.26,34,1.43,223,9.41,4,0.17,0,0,278,11.73,1102,916,83.12,21,1.91,0,0,0,0,0,0,165,14.97,443,193,43.57,0,0,192,43.34,4,0.9,0,0,54,12.19,210,19.06,328,29.76,346,31.4,218,19.78,56,12.64,159,35.89,210,47.4,18,4.06,228,51.47,266,17.22,487,31.52,556,35.99,236,15.28,4,0.9,0,0,0,0,4,100,0,0,0,0,38,8.58,23,60.53,15,39.47,0,0,0,0,0,0,279,62.98,85,30.47,61,21.86,76,27.24,0,0,57,20.43,122,27.54,0,0,0,0,93,76.23,7,5.74,22,18.03,207,46.73,51,11.51,86,19.41,20,4.51,0,0,0,0,0,0,0,0,0,0,0,0,79,17.83,427,10,0.91,28,2.54,300,27.22,764,69.33,4,0.9,38,8.58,279,62.98,122,27.54,77000,108300,47500,1116,383,46,0,0,209,18.97,14,1.27,0,0,0,0,879,79.76,174,39.28,32,7.22,0,0,0,0,237,53.5,3724328319,269164.4299
