INSPECTION_ID,PROPERTY_ID,PROPERTY_NAME,ADDRESS,CITY,CBSA_NAME,CBSA_CODE,COUNTY_NAME,COUNTY_CODE,STATE_NAME,STATE_CODE,ZIP,LATITUDE,LONGITUDE,LOCATION_QUALITY,INSPECTION_SCORE,INSPECTION_DATE
500202,800020943,HOUSTON HEIGHTS TOWERS,330 W 19th St,Houston,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",26420,Harris,201,TX,48,77008,29.802731,-95.402271,R,90,3/11/2013
500215,800219268,ALEMEDA VILLAS,2950 Alemeda St,Fort Worth,"Fort Worth-Arlington, TX Metropolitan Division",23104,Tarrant,439,TX,48,76108,32.732178,-97.48509,R,98,4/9/2013
500216,800216487,VISTAS of PINNACLE PARK,4599 W Davis St,Dallas,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Dallas,113,TX,48,75211,32.749934,-96.897882,R,99,4/22/2013
500220,800021399,SUNSET HILLS APARTMENTS,900 Sunset Hls,San Augustine,,99999,San Augustine,405,TX,48,75972,31.539601,-94.121389,R,92,4/11/2013
500303,800226778,EAGLEBROOK,10855 Eagle Dr,Mont Belvieu,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",26420,Chambers,071,TX,48,77523,29.850617,-94.860692,R,98,1/22/2013
500544,800218285,DEER PARK APTS,5403 Sayle St,Greenville,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Hunt,231,TX,48,75402,33.115132,-96.11597,R,93,12/10/2013
500556,800021331,SETTEGAST HEIGHTS,7373 N Wayside Dr,Houston,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",26420,Harris,201,TX,48,77028,29.828492,-95.284703,R,93,12/27/2013
500603,800217185,Villa Rodriguez,3270 Nacogdoches Rd,San Antonio,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",41700,Bexar,029,TX,48,78217,29.527592,-98.435403,R,94,9/16/2013
500745,800217460,Springdale Estates Apts,1046 Springdale Rd,Austin,"Austin-Round Rock, TX Metropolitan Statistical Area",12420,Travis,453,TX,48,78721,30.270265,-97.692739,R,92,11/25/2013
500830,800020749,CRICKET COURT,1102 58th St,Lubbock,"Lubbock, TX Metropolitan Statistical Area",31180,Lubbock,303,TX,48,79412,33.541747,-101.847703,R,91,10/24/2013
500941,800220981,BRADFORD PLACE APTS,3501 Fm 3218,Commerce,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Hunt,231,TX,48,75428,33.225166,-95.889303,R,96,9/5/2013
500993,800213179,SILVER CREEK II,8359 Harwood Rd,North Richland Hills,"Fort Worth-Arlington, TX Metropolitan Division",23104,Tarrant,439,TX,48,76180,32.842671,-97.204825,R,93,7/11/2013
501461,800220901,"NORTH PARK APTS, PHASE II",5603 Central Fwy,Wichita Falls,"Wichita Falls, TX Metropolitan Statistical Area",48660,Wichita,485,TX,48,76305,33.984565,-98.539865,R,92,9/3/2013
501484,800227184,ENCORE ON ALSBURY APTS,1350 SW Alsbury Blvd,Burleson,"Fort Worth-Arlington, TX Metropolitan Division",23104,Johnson,251,TX,48,76028,32.536832,-97.363472,R,99,6/18/2013
501840,800073899,TIMBERS OF TERRELL APTS.,201 Timber Ct,Terrell,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Kaufman,257,TX,48,75160,32.744757,-96.300294,R,93,2/20/2014
501955,800073897,CREEKWOOD PLACE APARTMENTS,485 Rolling Hills Pl,Lancaster,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Dallas,113,TX,48,75146,32.599694,-96.818446,R,90,5/14/2013
501971,800214067,INWOOD ON THE PARK,5720 Forest Park Rd,Dallas,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Dallas,113,TX,48,75235,32.819705,-96.840218,R,95,5/15/2013
502058,800074310,DAYTON PARK APARTMENTS,4490 N Cleveland St,Dayton,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",26420,Liberty,291,TX,48,77535,30.080423,-94.911409,R,93,8/19/2013
502091,800020772,CHRISTIAN VILLAGE,4225 Billie Bolin Dr,San Angelo,"San Angelo, TX Metropolitan Statistical Area",41660,Tom Green,451,TX,48,76904,31.421347,-100.48019,R,85,1/9/2014
502122,800073844,CLAREMONT APARTMENTS,2472 Highland Rd,Dallas,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Dallas,113,TX,48,75228,32.797854,-96.709602,R,90,9/11/2013
502279,800020646,ALICE VILLAGE APARTMENTS,123 Terrell St,Alice,"Alice, TX Micropolitan Statistical Area",10860,Jim Wells,249,TX,48,78332,27.761311,-98.077275,R,92,11/20/2013
502291,800216496,WEDGEWOOD SOUTH ASSISTED LIVING FACILITY,9812 Vinton Ave,Lubbock,"Lubbock, TX Metropolitan Statistical Area",31180,Lubbock,303,TX,48,79424,33.504631,-101.918086,R,92,10/21/2013
502344,800074071,SILVER CREEK,8359 Harwood Rd,North Richland Hills,"Fort Worth-Arlington, TX Metropolitan Division",23104,Tarrant,439,TX,48,76180,32.842671,-97.204825,R,91,7/11/2013
502377,800021140,NORTHRIDGE RET CENTER,100 NE 27th St,Lamesa,"Lamesa, TX Micropolitan Statistical Area",29500,Dawson,115,TX,48,79331,32.758921,-101.946552,R,94,10/25/2013
502393,800227499,Blanco Park Apartments,,SAN MARCOS,"Austin-Round Rock, TX Metropolitan Statistical Area",12420,Hays,209,TX,48,78666,29.8809,-97.9435,T,94,3/26/2014
502544,800021329,Sea Gulf Villa,416 N Chaparral St,Corpus Christi,"Corpus Christi, TX Metropolitan Statistical Area",18580,Nueces,355,TX,48,78401,27.795258,-97.393952,R,86,12/9/2015
502611,800231335,THE POINTE AT TIMBERGLEN,3737 Timberglen Rd,Dallas,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Denton,121,TX,48,75287,33.004697,-96.851296,R,90,6/21/2013
502647,800231716,Dieter Commons II,1531 George Dieter Dr,El Paso,"El Paso, TX Metropolitan Statistical Area",21340,El Paso,141,TX,48,79936,31.74802,-106.302056,R,92,3/10/2014
502648,800227443,RESERVE AT SANDSTONE RANCH,11200 Sean Haggerty Dr,El Paso,"El Paso, TX Metropolitan Statistical Area",21340,El Paso,141,TX,48,79934,31.935133,-106.424736,R,83,12/3/2013
502657,800226767,Stoney Brook of Belton,,BELTON,"Killeen-Temple, TX Metropolitan Statistical Area",28660,Bell,027,TX,48,76513,31.0732,-97.4909,T,94,6/19/2013
502749,800046124,COLLINS PARK AT BEAR CREEK,2001 Highway 360,Euless,"Fort Worth-Arlington, TX Metropolitan Division",23104,Tarrant,439,TX,48,76039,32.862682,-97.065213,R,66,10/13/2015
502761,800021309,ROYAL PALMS APARTMENTS,5601 Royal Palms St,Houston,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",26420,Harris,201,TX,48,77021,29.697744,-95.33117,R,90,11/1/2013
502780,800020684,BAYSHORE TOWERS,3219 Burke Rd,Pasadena,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",26420,Harris,201,TX,48,77504,29.663162,-95.186187,R,98,8/20/2013
502784,800226884,FRANKLIN AT STONE OAK,,SAN ANTONIO,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",41700,Bexar,029,TX,48,78259,29.6239,-98.4329,T,81,11/29/2013
502794,800218902,SPHINX AT MURDEAUX VILLAS,125 S Murdeaux Ln,Dallas,"Dallas-Plano-Irving, TX Metropolitan Division",19124,Dallas,113,TX,48,75217,32.712043,-96.693412,R,99,5/29/2013
503205,800021346,Sinton West Apts,111 S Chiltipin St,Sinton,"Corpus Christi, TX Metropolitan Statistical Area",18580,San Patricio,409,TX,48,78387,28.03661,-97.518159,R,98,3/5/2013
503206,800021560,Wurzbach Manor Apts/115-N1010,4363 W Dean Pannill Dr Apt E,San Antonio,"San Antonio-New Braunfels, TX Metropolitan Statistical Area",41700,Bexar,029,TX,48,78229,29.522767,-98.569198,R,91,11/15/2013
503217,800021210,PARKVIEW PLACE,6402 Hartford Ave,Lubbock,"Lubbock, TX Metropolitan Statistical Area",31180,Lubbock,303,TX,48,79413,33.535675,-101.885746,R,100,8/8/2013
503230,800046288,PRINCE HALL GARDENS 2,4820 E Berry St,Fort Worth,"Fort Worth-Arlington, TX Metropolitan Division",23104,Tarrant,439,TX,48,76105,32.711826,-97.249693,R,99,5/30/2013
503392,800021298,Rockwell Manor,2735 Rockwell Cir,Brownsville,"Brownsville-Harlingen, TX Metropolitan Statistical Area",15180,Cameron,061,TX,48,78521,25.929972,-97.483315,R,98,6/17/2013
503393,800020790,RIVERPOINTE APTS,1173 Benedict Dr,San Angelo,"San Angelo, TX Metropolitan Statistical Area",41660,Tom Green,451,TX,48,76903,31.45912,-100.419413,R,95,8/9/2013
