STATE,COUNTY,RISK_VALUE,RISK_SCORE,RISK_RATNG,SOVI_SCORE,SOVI_RATNG,RESL_SCORE,RESL_RATNG,RESL_SPCTL,RESL_VALUE,CRF_VALUE
Texas,Anderson,17074046.14,76.80559975,Relatively Low,84.27999878,Very High,21.47999954,Relatively Low,0.4448818898,2.481422901,1.370186479
Texas,Andrews,4613645.292,38.97550111,Very Low,64.19000244,Relatively High,10.78999996,Very Low,0.2716535433,2.422904015,1.308992364
Texas,Angelina,22155461.64,81.67356029,Relatively Low,98.88999939,Very High,31.95000076,Relatively Low,0.594488189,2.525665045,1.499265329
Texas,Aransas,26302975.92,84.50524976,Relatively Moderate,93.76000214,Very High,46.34000015,Relatively Moderate,0.811023622,2.584145069,1.181438352
Texas,Archer,2781837.452,21.38084633,Very Low,23.01000023,Relatively Low,28.57999992,Relatively Low,0.5354330709,2.511451006,1.119484804
Texas,Armstrong,1675610.08,10.65860643,Very Low,13.56000042,Very Low,57.09999847,Relatively Moderate,0.9094488189,2.624214888,1.051217079
Texas,Atascosa,10535469.28,65.92427617,Relatively Low,78.76999664,Relatively High,23.06999969,Relatively Low,0.4724409449,2.489444017,1.423911057
Texas,Austin,9743878.629,63.60165447,Relatively Low,76.12999725,Relatively High,43.59999847,Relatively Moderate,0.7677165354,2.571257114,1.399178234
Texas,Bailey,6247914.224,49.72955775,Relatively Low,79.27999878,Relatively High,4.170000076,Very Low,0.1377952756,2.358145952,1.431921547
Texas,Bandera,6555824.377,51.70219535,Relatively Low,61.04000092,Relatively High,29.03000069,Relatively Low,0.5393700787,2.513520002,1.251969827
Texas,Bastrop,18694979.59,78.58733694,Relatively Low,80.08000183,Very High,35.95999908,Relatively Low,0.657480315,2.541260004,1.255466187
Texas,Baylor,2181830.248,15.71746739,Very Low,30.87000084,Relatively Low,42.70999908,Relatively Moderate,0.7598425197,2.568089962,1.175141405
Texas,Bee,20388849.69,80.30544066,Relatively Low,94.72000122,Very High,11.01000023,Very Low,0.2755905512,2.423852921,1.518420627
Texas,Bell,63285384.54,92.65033408,Relatively Moderate,92.13999939,Very High,50.59999847,Relatively Moderate,0.8582677165,2.599749088,1.26963503
Texas,Bexar,250804252.4,98.28189628,Relatively High,92.48999786,Very High,38.63999939,Relatively Low,0.7165354331,2.552403927,1.343978911
Texas,Blanco,4921983.868,41.42538976,Very Low,32.97000122,Relatively Low,50.34999847,Relatively Moderate,0.8543307087,2.598869085,1.197090092
Texas,Borden,1606497.046,10.08590519,Very Low,33.95999908,Relatively Low,5.03000021,Very Low,0.1653543307,2.370378017,1.184193015
Texas,Bosque,4331321.351,36.78014636,Very Low,64.86000061,Relatively High,35.25999832,Relatively Low,0.6456692913,2.538674116,1.282077591
Texas,Bowie,22373463.34,81.86446071,Relatively Low,85.80999756,Very High,43.72999954,Relatively Moderate,0.7755905512,2.571382046,1.233238201
Texas,Brazoria,375730913.5,99.1091314,Relatively High,61.74000168,Relatively High,71.70999908,Relatively High,0.9645669291,2.680048943,1.175315613
Texas,Brazos,27367945.1,85.23703468,Relatively Moderate,81.31999969,Very High,44.72000122,Relatively Moderate,0.7874015748,2.575525999,1.124262849
Texas,Brewster,10793798.06,66.68787782,Relatively Low,78.48999786,Relatively High,22.44000053,Relatively Low,0.4606299213,2.486269951,1.507428811
Texas,Briscoe,2676067.618,20.23544384,Very Low,51.97000122,Relatively Moderate,18.68000031,Very Low,0.405511811,2.466017008,1.268728018
Texas,Brooks,7176362.418,55.17021954,Relatively Low,97.63999939,Very High,0.9900000095,Very Low,0.03543307087,2.260412931,1.819092141
Texas,Brown,13508856.69,72.4785237,Relatively Low,78.55000305,Relatively High,49.45999908,Relatively Moderate,0.8503937008,2.595495939,1.279149789
Texas,Burleson,3134858.999,24.91250398,Very Low,52.25999832,Relatively Moderate,30.29999924,Relatively Low,0.5669291339,2.518503904,1.198012567
Texas,Burnet,20242378.11,80.14635698,Relatively Low,60.75999832,Relatively High,42.38999939,Relatively Moderate,0.7559055118,2.566361904,1.209411954
Texas,Caldwell,22655032.12,81.99172765,Relatively Low,90.55000305,Very High,17.60000038,Very Low,0.374015748,2.461796045,1.429698021
Texas,Calhoun,27170284.65,85.14158447,Relatively Moderate,73.93000031,Relatively High,75.43000031,Relatively High,0.9763779528,2.695156097,1.304761644
Texas,Callahan,3371845.974,27.74419345,Very Low,27.78000069,Relatively Low,47.06999969,Relatively Moderate,0.8228346457,2.587065935,1.202625722
Texas,Cameron,271688662.1,98.47279669,Relatively High,98.27999878,Very High,7.860000134,Very Low,0.2125984252,2.400382042,1.635066161
Texas,Camp,7227804.309,55.36111995,Relatively Low,87.16999817,Very High,27.12000084,Relatively Low,0.5157480315,2.505575895,1.517074908
Texas,Carson,8704439.273,60.61088132,Relatively Low,3.789999962,Very Low,68.83999634,Relatively High,0.9606299213,2.669298887,0.9308361164
Texas,Cass,7399343.053,56.09290487,Relatively Low,83.93000031,Very High,31.86000061,Relatively Low,0.5905511811,2.525446892,1.418161875
Texas,Castro,4613824.866,39.07095132,Very Low,84.08999634,Very High,3.440000057,Very Low,0.1141732283,2.345514059,1.368035217
Texas,Chambers,43441165.51,89.75501114,Relatively Moderate,47.41999817,Relatively Moderate,91.87999725,Very High,1,2.7792449,1.161559468
Texas,Cherokee,9277453.454,62.32898505,Relatively Low,94.94000244,Very High,24.86000061,Relatively Low,0.4881889764,2.496486902,1.496577975
