FAT_YEARMONTH,FAT_DAY,FAT_TIME,FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION,EVENT_YEARMONTH
201708,22,0,33794,718677,D,08/22/2017 0:00:00,56,M,Vehicle/Towed Trailer,201708
201708,25,0,33949,718519,I,08/25/2017 0:00:00,39,M,Mobile/Trailer Home,201708
201708,26,0,34438,723471,D,08/26/2017 0:00:00,76,F,Vehicle/Towed Trailer,201708
201708,26,0,37330,720861,D,08/26/2017 0:00:00,76,F,Vehicle/Towed Trailer,201708
201708,26,0,33739,710616,D,08/26/2017 0:00:00,61,M,Outside/Open Areas,201708
201708,26,0,33837,719445,D,08/26/2017 0:00:00,24,M,Outside/Open Areas,201708
201708,27,0,34456,723471,D,08/27/2017 0:00:00,62,M,In Water,201708
201708,27,0,34440,723471,D,08/27/2017 0:00:00,89,F,Permanent Home,201708
201708,27,0,34437,723471,D,08/27/2017 0:00:00,64,M,Permanent Structure,201708
201708,27,0,34468,723471,D,08/27/2017 0:00:00,48,F,Permanent Structure,201708
201708,27,0,34441,723471,D,08/27/2017 0:00:00,60,M,Vehicle/Towed Trailer,201708
201708,27,0,34467,723471,D,08/27/2017 0:00:00,43,M,Vehicle/Towed Trailer,201708
201708,27,0,34753,720852,D,08/27/2017 0:00:00,63,M,In Water,201708
201708,27,0,37348,720861,D,08/27/2017 0:00:00,62,M,In Water,201708
201708,27,0,37332,720861,D,08/27/2017 0:00:00,89,F,Permanent Home,201708
201708,27,0,37329,720861,D,08/27/2017 0:00:00,64,M,Permanent Structure,201708
201708,27,0,37360,720861,D,08/27/2017 0:00:00,48,F,Permanent Structure,201708
201708,27,0,37333,720861,D,08/27/2017 0:00:00,60,M,Vehicle/Towed Trailer,201708
201708,27,0,37359,720861,D,08/27/2017 0:00:00,43,M,Vehicle/Towed Trailer,201708
201708,27,0,34832,720871,D,08/27/2017 0:00:00,54,M,In Water,201708
201708,27,0,34833,720871,D,08/27/2017 0:00:00,59,M,In Water,201708
201708,27,0,34834,720871,D,08/27/2017 0:00:00,83,M,In Water,201708
201708,27,0,34835,720871,I,08/27/2017 0:00:00,69,F,Permanent Home,201708
201708,27,0,34918,728390,D,08/27/2017 0:00:00,1,F,Vehicle/Towed Trailer,201708
201708,27,0,34919,728390,D,08/27/2017 0:00:00,64,M,Vehicle/Towed Trailer,201708
201708,27,0,33952,710655,D,08/27/2017 0:00:00,73,M,Vehicle/Towed Trailer,201708
201708,28,0,34458,723471,D,08/28/2017 0:00:00,73,F,In Water,201708
201708,28,0,34460,723471,D,08/28/2017 0:00:00,67,M,In Water,201708
201708,28,0,34439,723471,D,08/28/2017 0:00:00,45,M,Vehicle/Towed Trailer,201708
201708,28,0,37350,720861,D,08/28/2017 0:00:00,73,F,In Water,201708
201708,28,0,37352,720861,D,08/28/2017 0:00:00,67,M,In Water,201708
201708,28,0,37331,720861,D,08/28/2017 0:00:00,45,M,Vehicle/Towed Trailer,201708
201708,28,0,34915,728349,D,08/28/2017 0:00:00,61,M,In Water,201708
201708,28,0,34917,728349,I,08/28/2017 0:00:00,,,Outside/Open Areas,201708
201708,28,0,34914,728349,D,08/28/2017 0:00:00,60,F,Permanent Structure,201708
201708,28,0,34916,728349,D,08/28/2017 0:00:00,33,M,Vehicle/Towed Trailer,201708
201708,28,0,34920,728390,D,08/28/2017 0:00:00,69,M,In Water,201708
201708,28,0,33848,719489,D,08/28/2017 0:00:00,1,,Permanent Home,201708
201708,29,0,34446,723471,D,08/29/2017 0:00:00,33,M,Boating,201708
201708,29,0,34447,723471,D,08/29/2017 0:00:00,45,M,Boating,201708
201708,29,0,34442,723471,D,08/29/2017 0:00:00,65,M,In Water,201708
201708,29,0,34443,723471,D,08/29/2017 0:00:00,42,M,In Water,201708
201708,29,0,34444,723471,D,08/29/2017 0:00:00,54,M,In Water,201708
201708,29,0,34445,723471,D,08/29/2017 0:00:00,25,M,In Water,201708
201708,29,0,34462,723471,D,08/29/2017 0:00:00,66,M,In Water,201708
201708,29,0,34464,723471,D,08/29/2017 0:00:00,29,F,In Water,201708
201708,29,0,34473,723471,I,08/29/2017 0:00:00,82,M,Vehicle/Towed Trailer,201708
201708,29,0,34474,723471,I,08/29/2017 0:00:00,38,F,Vehicle/Towed Trailer,201708
