YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201708,117226,705999,1,3.51,NE,LA GRANGE,38.44,-85.34,3826400,8520400
201708,117226,705999,2,4.19,NE,LA GRANGE,38.4463,-85.33,3826778,8519800
201708,117226,705999,3,4.17,NE,LA GRANGE,38.4493,-85.3355,3826958,8520130
201708,117226,705999,4,3.46,NNE,LA GRANGE,38.4438,-85.349,3826628,8520940
201708,117226,706000,1,1.48,SSE,PENDLETON,38.45,-85.29,3827000,8517400
201708,117225,704979,1,9.32,SSE,GILLETTE,44.16,-105.45,449600,10527000
201708,117192,704878,1,0.47,W,WINNETT,47,-108.36,4700,10821600
201708,117192,704879,1,0.47,E,WINNETT,47,-108.34,4700,10820400
201708,117222,704973,1,9.36,WNW,IDEAL,43.6,-100.06,4336000,1003600
201708,118067,709625,4,2.04,WSW,GLADSTONE,36.2858,-104.0021,3617148,104126
201708,118067,709626,1,7.04,E,MOSQUERO,35.7995,-103.8368,3547970,10350208
201708,118067,709626,2,8.91,E,MOSQUERO,35.8034,-103.8036,3548204,10348216
201708,118067,709626,3,9.34,E,MOSQUERO,35.7797,-103.7933,3546782,10347598
201708,118067,709626,4,7.34,E,MOSQUERO,35.7786,-103.829,3546716,10349740
201708,118067,709627,1,9.23,S,DAHLIA,34.989,-105.2384,3459340,10514304
201708,118067,709628,1,0.9,SE,LAKE ARTHUR,32.99,-104.36,3259400,10421600
201708,118067,709628,2,1.1,SSW,LAKE ARTHUR,32.9847,-104.3748,3259082,10422488
201708,118067,709628,4,1.83,S,LAKE ARTHUR,32.9736,-104.3715,3258416,10422290
201708,118067,709628,5,1.63,SE,LAKE ARTHUR,32.9819,-104.3519,3258914,10421114
201708,118083,709688,1,2.76,NNE,VICTORIA,44.885,-93.6226,4453100,9337356
201708,118161,710124,1,1.95,W,RED RIVER,36.7085,-105.4451,3642510,10526706
201708,118161,710124,2,1.91,W,RED RIVER,36.7073,-105.4443,3642438,10526658
201708,118161,710124,3,1.86,W,RED RIVER,36.7076,-105.4434,3642456,10526604
201708,118161,710124,4,1.89,W,RED RIVER,36.7093,-105.4441,3642558,10526646
201708,118210,710360,1,2.82,SSW,AMISTAD,35.88,-103.16,3552800,1039600
201708,118210,710361,1,3.84,SSW,AMISTAD,35.87,-103.18,3552200,10310800
201708,118211,710362,1,0,N,GASCON,35.89,-105.45,3553400,10527000
201708,118211,710363,1,1.38,N,POLVADERA,34.22,-106.92,3413200,10655200
201708,118212,710364,1,0,N,(ABQ)ALBUQUERQUE INTL AIRPORT,35.04,-106.62,352400,10637200
